index,Наименование параметра,8А531
0,Основные параметры станка,
1,"Наибольшая высота обрабатываемой заготовки (зев станины), мм",250
2,"Наибольшая ширина обрабатываемой заготовки (вылет инструмента), мм",420
3,Стол станка,
4,"Размеры рабочей поверхности стола, мм",560 х 560
5,"Угол наклона стола вправо, град",30°
6,"Угол наклона стола влево, град",10°
7,"Высота от пола, мм",1100
8,Вариатор и редуктор,
9,Регулирование сорости вращения,бесступ
10,Диапазон регулирования,75
11,Количество ступеней при переключении скоростей редуктора,3
12,"Предел скоростей ленточной пилы, м/мин",20..1550
13,Режущий инструмент (ленточная пила),
14,"Длина ленточной пилы, мм",3250
15,"Ширина ленточной пилы, мм",4; 6; 8; 10; 12
16,"Толщина ленточной пилы, мм",06
17,"Размеры цепи напильников: длина/ ширина, мм",3170/ 10
18,"Размеры абразивной ленты: длина/ ширина, мм",3250/ 300
19,Электрооборудование станка,
20,"Электродвигатель главного привода, кВт (об/мин)","1,1 (1400)"
21,"Электродвигатель шлифовального круга, кВт (об/мин)","0,27 (3000)"
22,Габарит и масса станка,
23,"Габарит станка (длна х ширина х высота), мм",1080 х 770 х 1955
24,"Масса станка, кг",920
