index,Наименование параметра,2С50
0,Основные параметры станка,
1,"Наибольший диаметр сверления в стали 45, мм",50
2,Пределы диаметров нарезания резьбы в стали средней твердости,М3..М36
3,"Наибольшая масса инструмента, устанавливаемая на станке, не более, кг",6
4,"Наибольшая высота заготовки, мм",600h14
5,"Наименьшее и наибольшее расстояние от торца шпинделя до стола, мм",750
6,"Наименьшее и наибольшее расстояние от торца шпинделя до плиты, мм",
7,"Расстояние от оси вертикального шпинделя до направляющих стойки (вылет), мм",300
8,Рабочий стол,
9,"Максимальная нагрузка на стол (по центру), кг",600
10,"Размеры рабочей поверхности стола, мм",500 х 500
11,Число Т-образных пазов Размеры Т-образных пазов,3
12,"Наибольшее вертикальное перемещение стола (ось Z), мм",300
13,Шпиндель,
14,"Наибольшее перемещение (установочное) шпиндельной головки, мм",170
15,"Наибольшее перемещение (ход) шпинделя, мм",250
16,"Перемещение шпинделя на одно деление лимба, мм",
17,"Перемещение шпинделя на один оборот маховичка-рукоятки, мм",
18,"Частота вращения шпинделя, об/мин",0..2000
19,Количество скоростей шпинделя,Б/ступ
20,"Наибольший допустимый крутящий момент, Нм",400
21,Конус шпинделя,Морзе 4
22,Механика станка,
23,Число ступеней рабочих подач,9
24,"Пределы вертикальных рабочих подач на один оборот шпинделя, мм/об","0,10; 0,14; 0,20; 0,28; 0,40; 0,56; 0,80; 1,12; 1,6"
25,Управление циклами работы,Ручное
26,"Наибольшая допустимая сила подачи, кН",15
27,Динамическое торможение шпинделя,Есть
28,Привод,
29,"Электродвигатель привода главного движения, кВт (об/мин)","1,0 (1500)"
30,Электронасос охлаждающей жидкости Тип,
31,Габарит станка,
32,"Габариты станка, мм",1110 х 870 х 2500
33,"Масса станка, кг",1200
