index,Наименование параметра,6М13У
0,Основные параметры станка,
1,Класс точности по ГОСТ 8-71 и ГОСТ 8-82,"Н, П"
2,"Размеры поверхности стола, мм",400 х 1600
3,"Наибольшая масса обрабатываемой детали, кг",800
4,"Расстояние от торца шпинделя до стола, мм",70..450
5,"Расстояние от оси шпинделя до вертикальных направляющих станины (вылет), мм",450
6,"Точность обработки, мм","±0,1"
7,Рабочий стол,
8,"Наибольший продольный ход стола от руки (по оси X), мм",890
9,"Наибольший поперечный ход стола от руки (по оси Y), мм",310
10,"Наибольший вертикальный ход стола от руки (по оси Z), мм",370
11,"Наибольший вертикальный ход ползуна от руки (по оси Z), мм",140
12,"Перемещение стола на одно деление лимба (продольное, поперечное, вертикальное), мм",
13,"Перемещение стола на один оборот лимба (продольное, поперечное/ вертикальное), мм",
14,"Пределы продольных подач стола (X), мм/мин",0..2400
15,"Пределы поперечных подач салазок стола (Y), мм/мин",0..2400
16,"Пределы вертикальных подач ползуна при программной работе (Z), мм/мин",0..1000
17,"Пределы вертикальных подач консоли стола (Z), мм/мин",0..700
18,Количество подач продольных/ поперечных/ вертикальных,Б/с
19,"Скорость быстрых продольных перемещений стола (по оси X), м/мин",24
20,"Скорость быстрых поперечных перемещений стола (по оси Y), м/мин",24
21,"Скорость быстрых вертикальных перемещений стола (по оси Z), м/мин",24
22,Шпиндель,
23,"Частота вращения шпинделя, об/мин",40..2000
24,Количество скоростей шпинделя,18
25,"Перемещение пиноли шпинделя, мм",
26,"Перемещение пиноли шпинделя на одно деление лимба, мм",
27,Конус фрезерного шпинделя,
28,"Конец шпинделя ГОСТ 24644-81, ряд 4, исполнение 6",
29,"Отверстие фрезерного шпинделя, мм",
30,"Диаметр переднего подшипника, мм",
31,"Поворот шпиндельной головки вправо и влево, град",
32,Механика станка,
33,"Выключающие упоры подачи (продольной, поперечной, вертикальной)",Есть
34,"Блокировка ручной и механической подач (продольной, поперечной, вертикальной)",Есть
35,Блокировка раздельного включения подач,Есть
36,Торможение шпинделя,Есть
37,Предохранительная муфта от перегрузок,Есть
38,Автоматическая прерывистая подача,Есть
39,"Электрооборудование, привод",
40,Количество электродвигателей на станке,
41,"Электродвигатель привода главного движения, кВт (об/мин)","7,5 (1450)"
42,"Электродвигатель привода продольной подачи, кВт (об/мин)","2 (3150), пост.тока"
43,"Электродвигатель привода поперечной подачи, кВт (об/мин)","2 (3150), пост.тока"
44,"Электродвигатель привода вертикальной подачи, кВт (об/мин)","1 (1600), 110 В"
45,"Электродвигатель привода консоли, кВт (об/мин)","1,5 (1500)"
46,"Электродвигатель привода подач, кВт (об/мин)",-
47,"Электродвигатель зажима инструмента, кВт (об/мин)",нет
48,"Электродвигатель насоса охлаждающей жидкости, кВт (об/мин)",0125
49,"Суммарная мощность всех электродвигателей, кВт",
50,Габарит и масса станка,
51,"Габариты станка (длина ширина высота), мм",4000 х 2875 х 3045
52,"Масса станка, кг",6600
