index,Наименование параметра,3Б70В
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,В
2,"Наибольшие размеры обрабатываемых изделий (длина х ширина х высота), мм",400 х 160 х 320
3,"Расстояние от оси шпинделя до зеркала стола, мм",80..420
4,"Наибольшая масса обрабатываемых изделий, кг",50
5,"Точностные параметры, максимально достигаемые на образце-изделии",
6,"шероховатость поверхности, обработанной периферией шлифовального круга, Ra",10
7,Рабочий стол станка,
8,"Размеры рабочей поверхности стола (длина х ширина), мм",400 х 160
9,"Наибольшее продольное перемещение стола, мм",480
10,"Наибольшее поперечное перемещение стола, мм",190
11,"Скорость продольного перемещения стола (бесступенчатое регулирование), м/мин",2..20
12,"Перемещение стола за один оборот маховика механизма продольного перемещения, мм",
13,Суппорт стола. Механизм поперечной подачи стола,
14,"Цена деления лимба маховика поперечного перемещения стола, мм",002
15,"Цена деления лимба микрометрической подачи поперечного перемещения стола, мм",0005
16,"Автоматическая поперечная подача на каждый ход стола (бесступенчатое регулирование), мм",03..10
17,"Ускоренное перемещение крестового суппорта стола, м/мин",07
18,Шлифовальная головка. Шлифовальный круг,
19,"Наибольшее вертикальное перемещение шлифовальной головки, мм",340
20,"Ускоренное вертикальное перемещение шлифовальной головки, м/мин",07
21,"Размеры шлифовального круга, мм",200 х 25 х 32
22,Число оборотов шлифовального круга в минуту,"3380..4550, 1680..2260"
23,"Наибольшая скорость резания, м/с",
24,"Цена деления лимба маховика вертикального перемещения, мм",0005
25,"Цена деления лимба тонкой вертикальной подачи, мм",0002
26,"Автоматическая подача вертикального перемещения, мм",нет
27,Электрооборудование и привод станка,
28,Количество электродвигателей на станке,6
29,"Электродвигатель привода шпинделя шлифовального круга, кВт (об/мин)","1,0/ 1,4 (2750/ 1400)"
30,"Электродвигатель гидропривода стола, кВт (об/мин)","0,6 (1350)"
31,"Электродвигатель привода поперечной подачи, кВт (об/мин)","0,12 (1390)"
32,"Электродвигатель ускоренного перемещения шлифовальной головки, кВт (об/мин)","0,6 (2800)"
33,"Электродвигатель насоса охлаждения, кВт (об/мин)","0,125 (2800)"
34,"Электродвигатель магнитного сепаратора в комплекте с агрегатом, кВт (об/мин)","0,08 (1390)"
35,"Общая установленная мощность всех электродвигателей, кВт",292
36,род тока питающей сети,"380 В, 50 Гц"
37,Габариты и масса станка,
38,"Габарит станка (длина х ширина х высота), мм",1465 х 1950 х 1610
39,"Масса станка, кг",1500
