index,Наименование параметра,Значение
0,Основные параметры,
1,"Высота устанавливаемого резца, мм",6..25 (32)
2,"Наибольшая длина устанавливаемого резца, мм",200
3,"Высота оси шпинделя над основным столом, мм",235
4,"Высота оси шпинделя над наклонным столом, мм",25
5,"Высота оси шпинделя над полом по ГОСТ 971-78, мм",1120
6,Шлифовальный круг,
7,Тип шлифовального круга,ГОСТ 16172-70
8,Форма,АЧК
9,"Наружный диаметр круга, мм",150
10,"Высота круга, мм",
11,"Посадочный диаметр круга, мм",51
12,"Ширина алмазного слоя, мм",20
14,Шпиндель,
15,"Число оборотов шлифовального шпинделя, об/мин","2540, 3560"
16,"Конец шлифовального шпинделя по ГОСТ 2323-76 (диаметр/длина), мм",32 × 40
17,"Максимальная скорость резания, м/с",20..28
18,Шлифовальная головка,
19,"Величина осцилляции шлифовальной головки, мм",0..25
20,Изменение величины осцилляции шлифовальной головки,бесступенчатое
21,"Частота осцилляции шлифовальной головки, дв.ход/мин",50
22,"Скорость осцилляции шлифовальной головки, м/мин",0..25
23,"Наибольшее поперечное перемещение шлифовальной головки вручную, мм",30
24,"Цена деления лимба маховичка поперечного перемещения, мм",001
25,Стол неповоротный и поворотный,
26,"Размеры рабочей поверхности неповоротного стола по ГОСТ 6569-75 (длина х ширина), мм",
27,"Наклон поворотного стола в поперечной плоскости, град",+20°..-5°
28,Электрооборудование,
29,"Электродвигатель привода шлифовального круга, кВт (об/мин)","1,1 (2815)"
30,"Электродвигатель охлаждения, кВт (об/мин)","0,12 (2800)"
31,"Электродвигатель осцилляции, кВт (об/мин)","0,12 (1400)"
32,"Электродвигатель приспособления для образования стружколомающих лунок на резцах, кВт (об/мин)",
33,Габариты и масса станка,
34,"Габариты станка (длина ширина высота), мм",710 х 1060 х 1500
35,"Масса станка, кг",1075
