index,Наименование параметра,2Б118
0,Основные параметры станка,
1,"Наибольший условный диаметр сверления в стали σ = 50..60 кг*мм2, мм",18
2,"Наименьшее и наибольшее расстояние от торца шпинделя до стола, мм",50..650
3,"Наименьшее и наибольшее расстояние от торца шпинделя до фундаментной плиты, мм",800..1150
4,"Расстояние от оси вертикального шпинделя до направляющих стойки (вылет), мм",200
5,Рабочий стол,
6,"Максимальная нагрузка на стол (по центру), кг",
7,"Размеры рабочей поверхности стола (длина х ширина), мм",320 х 400
8,Число Т-образных пазов Размеры Т-образных пазов,
9,"Наибольшее вертикальное перемещение стола (ось Z), мм",350
10,"Перемещение стола на один оборот рукоятки, мм",
11,Шпиндель,
12,"Наибольшее перемещение шпиндельной головки (гильзы шпинделя), мм",100
13,"Наибольшее осевое перемещение шпинделя, мм",150
14,"Перемещение шпиндельной головки на один оборт маховичка, мм",
15,"Перемещение шпинделя на одно деление лимба, мм",
16,"Перемещение шпинделя на один оборот маховичка-рукоятки, мм",
17,"Частота вращения шпинделя, об/мин (количество скоростей)",208..2040 (6)
18,"Наибольший допустимый крутящий момент, кг*см",880
19,"Наибольшее усилие подачи, кг",500
20,Конус шпинделя,Морзе 2
21,Механика станка,
22,"Пределы вертикальных рабочих подач на один оборот шпинделя, мм (число подач)","0,1..0,4 (4)"
23,"Наибольшая допустимая сила подачи, кгс",550
24,Торможение шпинделя,
25,Привод,
26,Электродвигатель привода главного движения Тип,
27,"Электродвигатель привода главного движения, кВт (об/мин)","1,7 (2850)"
28,Электронасос охлаждающей жидкости Тип,ПА-22
29,Габарит и масса станка,
30,"Габариты станка (длина ширина высота), мм",727 х 625 х 1960
31,"Масса станка, кг",450
