index,Наименование параметра,6Т10
0,Основные параметры станка,
1,Класс точности по ГОСТ 8-82,Н
2,"Размеры рабочей поверхности стола (длина х ширина), мм",200 х 800
3,"Наименьшее и наибольшее расстояние от торца вертикального шпинделя до стола, мм",45..400
4,"Расстояние от оси горизонтального шпинделя до стола, мм",-
5,"Расстояние от оси горизонтального шпинделя до хобота, мм",123
6,"Расстояние от оси шпинделя фрезерной головки до направляющих станины (вылет), мм",300
7,"Наибольший диаметр фрезы, устанавливаемой на станке, мм",100
8,Рабочий стол,
9,"Наибольшее перемещение стола продольное, мм",560
10,"Наибольшее перемещение стола поперечное, мм",220
11,"Наибольшее перемещение стола вертикальное механическое/ ручное, мм",355
12,"Наибольшие размеры заготовки, устанавливаемой на столе (длина_ширина_высота), мм",800 х 260 х 450
13,"Максимальная нагрузка на стол (по центру), кг",200
14,Число Т-образных пазов Размеры Т-образных пазов,3
15,"Перемещение стола на одно деление лимба продольное/ поперечное/ вертикальное, мм","0,05/ 0,05/ 0,02"
16,"Быстрый ход стола продольный/ поперечный/ вертикальный, мм/мин","3,35/ 3,35/ 1,7"
17,Число ступеней рабочих подач стола,18
18,"Пределы рабочих подач. Продольных и поперечных, мм/мин",20..1000
19,"Пределы рабочих подач. Вертикальных, мм/мин",10..500
20,"Угол поворота стола (в крайнем переднем положении), град",-
21,"Усилие резания в продольном направлении, Н",68646
22,Шпиндель,
23,Количество скоростей вертикального шпинделя,12
24,"Частота вращения горизонтального шпинделя, об/мин",-
25,Количество скоростей горизонтального шпинделя,-
26,"Перемещение пиноли (гильзы) вертикального шпинделя, мм",60
27,"Перемещение пиноли шпинделя на одно деление лимба, мм",005
28,"Поворот головки шпинделя в продольной плоскости, град",±45
29,"Наибольший крутящий момент на горизонтальном шпинделе, Н.м",-
30,"Наибольший крутящий момент на вертикальном шпинделе, Н.м",155
31,"Эскиз конца горизонтального шпинделя по ГОСТ 836-72, ГОСТ 24644-81",40
32,"Эскиз конца шпинделя фрезерной головки по ГОСТ 836-72, ГОСТ 24644-81",40
33,"Масса фрезерной головки, кг",-
34,Шпиндель фрезерной головки,
35,"Угол поворота фрезерной головки в поперечной плоскости, град",-
36,Внутренний конус шпинделя фрезерной головки,-
37,"Частота вращения шпинделя фрезерной головки, об/мин",-
38,Количество скоростей шпинделя фрезерной головки,-
39,Привод и электрооборудование,
40,Количество электродвигателей на станке,3
41,"Электродвигатель привода главного движения М1, кВт",30
42,"Электродвигатель привода шпинделя поворотной головки М2, кВт",-
43,"Электродвигатель привода подач М3, кВт",075
44,"Электронасос охлаждающей жидкости М4, кВт",012
45,Габариты и масса станка,
46,"Габариты станка (длина х ширина х высота), мм",1500 х 1875 х 1808
47,"Масса станка, кг",1340
