index,Наименование параметра,ФС-250
0,Основные параметры станка,
1,Класс точности по ГОСТ 8-82,
2,"Размеры горизонтального (углового) стола, мм",250 х 620
3,"Размеры вертикального стола, мм",195 х 553
4,"Максимальная масса обрабатываемой детали, кг",
5,"Расстояние от оси горизонтального шпинделя до рабочей поверхности горизонтального (углового) стола, мм",70..365
6,"Расстояние от торца вертикального шпинделя до рабочей поверхности горизонтального стола, мм",110
7,"Наибольший вылет оси вертикального шпинделя, мм",128
8,"Наибольший продольный ход стола (X), мм",250
9,"Наибольший ход шпиндельной бабки (Y), мм",150
10,"Наибольший вертикальный ход суппорта стола (Z), мм",290
11,"Наибольший диаметр растачивания, мм",
12,"Наибольший диаметр сверления, мм",
13,Горизонтальный шпиндель,
14,"Частота вращения горизонтального шпинделя, об/мин (ступеней)",42..2150 (12)
15,Количество скоростей горизонтального шпинделя,12
16,Конус горизонтального шпинделя,
17,"Наибольший допустимый крутящий момент на горизонтальном шпинделе, Нм",334
18,Горизонтальная шпиндельная бабка,
19,"Перемещение бабки на одно деление лимба, мм",0025
20,"Перемещение бабки на один оборот лимба, мм",
21,"Быстрое перемещение бабки, мм/мин",
22,Количество подач горизонтальной шпиндельной бабки,
23,"Пределы подач горизонтальной шпиндельной бабки, мм/мин (ступеней)",
24,"Наибольшее усилие подач шпиндельной бабки, Н",
25,Выключающие подачу упоры,
26,Вертикальная фрезерная головка,
27,"Частота вращения вертикального шпинделя, об/мин (Число ступеней)",55..2450 (12)
28,Количество скоростей вертикального шпинделя,12
29,"Наибольшее осевое перемещение вертикального шпинделя, мм",
30,"Наибольший угол поворота вертикальной головки в вертикальной плоскости, градус",
31,Конус горизонтального и вертикального шпинделей,
32,"Наибольший допустимый крутящий момент на вертикальном шпинделе, Нм",
33,Вертикальная фрезерно-расточная головка,
34,"Расстояние от торца вертикального шпинделя до рабочей поверхности горизонтального стола, мм",
35,"Частота вращения вертикального шпинделя, об/мин (Число ступеней)",
36,"Наибольшее осевое перемещение вертикального шпинделя, мм",
37,"Наибольший угол поворота вертикальной головки в вертикальной плоскости, градус",
38,Конус горизонтального и вертикального шпинделей,
39,"Наибольший допустимый крутящий момент на вертикальном шпинделе, Нм",
40,Вертикальная сверлильно-фрезерная головка,
41,"Расстояние от торца вертикального шпинделя до рабочей поверхности горизонтального стола, мм",
42,"Частота вращения вертикального шпинделя, об/мин (Число ступеней)",
43,"Наибольшее осевое перемещение вертикального шпинделя от руки, мм",
44,"Механическая подача шпинделя, мм/об",
45,"Наибольший угол поворота вертикальной головки в вертикальной плоскости, градус",
46,Конус горизонтального и вертикального шпинделей,
47,"Наибольший допустимый крутящий момент на вертикальном шпинделе, Нм",
48,Суппорт стола. Стол вертикальный. Подачи,
49,"Пределы продольных и вертикальных подач стола (X, Z), мм/мин (Ступеней)",10..380 (12)
50,"Ускоренный ход стола, мм/мин",
51,"Перемещение стола продольное на одно деление лимба, мм",0025
52,"Перемещение суппорта стола вертикальное на одно деление лимба, мм",0025
53,Количество подач стола,12
54,"Наибольшее усилие подач стола, Н",
55,Электрооборудование и привод станка,
56,"Электродвигатель главного привода, кВт (об/мин)","1,8/ 2,1 (1000/ 1500)"
57,"Электродвигатель привода насоса охлаждения, кВт","0,12 (2800)"
58,"Суммарная мощность электродвигателей, кВт",
59,Габарит и масса станка,
60,"Габариты станка (длина х ширина х высота), мм",
61,"Масса станка, кг",
