index,Наименование параметра,1286-6
0,Основные параметры станка,
1,Количество шпинделей,6
2,Класс точности станка Н по ГОСТ 8—71,Н
3,"Наибольший диаметр устанавливаемого изделия, мм",630
4,"Посадочный диаметр шпинделей под патрон, мм",500к6
5,"Расстояние от торца шпинделя до нижней кромки плиты суппорта, мм",350..750
6,Количество суппортов,5
7,Шпиндель,
8,Количество рабочих скоростей шпинделя,21
9,"Частота вращения шпинделя - нормальное исполнение, об/мин",16..160
10,"Частота вращения шпинделя - быстроходное исполнение, об/мин",
11,Зажим изделия,Гидравлич
12,"Наибольший крутящий момент на шпинделе не менее, Нм (кг*м)",390
13,Подачи,
14,"Наибольшее вертикальное перемещение (ход) суппорта, мм",400
15,"Наибольшее поперечное перемещение (поперечный ход) суппорта, мм",200
16,Суммарное количество подач суппорта,43
17,"Вертикальные подачи суппорта, мм/об",00315..40
18,"Горизонтальные подачи суппорта, мм/об",00315..40
19,"Скорость быстрого перемещения суппорта, м/мин",23
20,"Наибольшее тяговое усилие суппорта, кН",15
21,Электрооборудование станка,
22,"Количество электродвигателей на станке, кВт",4
23,"Электродвигатель главного привода, кВт","40, 55, 75"
24,"Электродвигатель гидропривода, кВт",55
25,"Электродвигатель поворота стола, кВт",20
26,"Электродвигатель насоса охлаждения, кВт",06
27,"Привод шнека, кВт",15
28,Габариты и масса станка,
29,"Габаритные размеры станка (длина, ширина, высота), мм",4790 х 5020 х 4870
30,"Масса станка, кг",35500
