index,Наименование параметра,5К822В
0,Основные параметры станка,
1,"Наибольший диаметр устанавливаемого изделия, мм",200
2,"Наибольшая длина устанавливаемого изделия, мм",500
3,"Наибольший диаметр шлифовального круга, мм",400
4,"Наибольший угол подъема винтовой линии шлифуемой резьбы, мм",±30
5,"Величина перемещения шлифовальной бабки от механизма быстрого отвода, мм",6
6,"Наибольший диаметр конца шлифовального шпинделя, мм",50
7,Конус отверстия в шпинделе передней бабки и пиноли задней бабки,Морзе 4
8,"Наибольшая масса устанавливаемого изделия, кг",30
9,"Пределы частот вращения шпинделя изделия - рабочих, 1/мин",03..55
10,"Пределы частот вращения шпинделя изделия - ускоренных, 1/мин",28..100
11,"Наибольшая частота вращения шпинделя изделия при затыловании, 1/мин",27
12,Основные параметры станка при шлифовании наружной резьбы,
13,"Наибольший диаметр шлифуемой резьбы однониточным кругом, мм",150
14,"Наибольший диаметр шлифуемой резьбы многониточным кругом, мм",120
15,"Расстояние от вершины переднего центра до конца зоны шлифования, мм",375
16,"Шаг резьбы, шлифуемой однониточным кругом - метрической, мм",025..24
17,"Шаг резьбы, шлифуемой однониточным кругом - дюймовой, число ниток на дюйм",28..3
18,"Шаг резьбы, шлифуемой однониточным кругом - модульной, мм","0,3π..8π"
19,"Шаг метрической резьбы, шлифуемой многониточным кругом, мм",1..4
20,"Наибольшая высота профиля шлифуемой резьбы, мм",18
21,"Наибольший ход винтовой линии шлифуемой резьбы, мм",44
22,Число заходов шлифуемой многозаходной резьбы,234681224
23,Наибольшая конусность шлифуемой наружной конической резьбы,1:16
24,"Наибольшая длина шлифуемой наружной конической резьбы, мм",60
25,"Величина затыловочного перемещения шлифовальной бабки, мм",0023..25
26,Число затылуемых зубьев,2346891012
27,Наибольшее число двойных ходов шлифовальной бабки в минуту при наименьшем затыловочном перемещении,81
28,"Высота однониточного шлифовального круга, мм",10
29,"Высота многониточного шлифовального круга, мм","20, 40"
30,"Половина угла профиля шлифуемой резьбы, град",3..30
31,Окружная скорость шлифовального круга на диаметре 400 м/с,(35;50)±5%
32,Число ступеней частоты вращения шлифовального круга,2
33,Основные параметры станка при шлифовании внутренней резьбы,
34,"Наибольший диаметр устанавливаемого изделия, мм",160
35,"Диаметр шлифуемой резьбы, мм",30..125
36,"Наибольшая длина шлифуемой резьбы при наибольшем ее диаметре однониточным кругом, мм",75
37,"Наибольшая длина шлифуемой резьбы при наибольшем ее диаметре многониточным кругом, мм",45
38,"Наибольший угол подъема винтовой линии шлифуемой резьбы, град",±6
39,"Шаг резьбы, шлифуемой однониточным кругом - метрической, мм",05..6
40,"Шаг резьбы, шлифуемой - дюймовой, число ниток на дюйм",28..4
41,"Шаг резьбы, шлифуемой однониточным кругом - модульной, мм","0,2π..2π"
42,"Шаг метрической резьбы, шлифуемой многониточным кругом, мм",1..3
43,Наибольшая конусность шлифуемой внутренней конической резьбы,1:16
44,"Наибольшая длина шлифуемой внутренней конической резьбы, мм",60
45,"Наибольшая высота профиля шлифуемой резьбы, мм",18
46,"Наибольший ход винтовой линии шлифуемой резьбы, мм",44
47,Число заходов шлифуемой многозаходной резьбы,234681224
48,"Высота однониточного шлифовального круга, мм",6
49,"Высота многониточного шлифовального круга, мм",20
50,"Диаметр шлифовального круга, мм",63..100
51,Число ступеней частоты вращения шлифовального круга,2
52,"Окружная скорость шлифовального круга, м/с",35
53,"Частота вращения шлифовального круга на диаметре более 65 мм, 1/мин",6270
54,"Частота вращения шлифовального круга на диаметре менее 65 мм, 1/мин",10160
55,Привод и электрооборудование станка,
56,Количество электродвигателей на станке,
57,"Электродвигатель главного привода - шлифовального шпинделя М1, кВт",3
58,"Электродвигатель смазки шлифовального шпинделя М2, кВт",018
59,"Электродвигатель смазки станка М3, кВт",018
60,"Электродвигатель насоса охлаждения М4, кВт",055
61,"Электродвигатель магнитного сепаратора М5, кВт",012
62,"Электродвигатель приспособления М6, кВт",009
63,"Электродвигатель подачи правильного прибора М7, кВт",006
64,"Электродвигатель компенсации М8, кВт",009
65,"Электродвигатель накатки М9, кВт",025
66,"Электродвигатель разворота шлифовальной бабки М10, кВт",009
67,"Электродвигатель изделия М11 =110В, кВт",11
68,"Электродвигатель перемещения алмазов М12 =110В, кВт",0055
69,"Суммарная мощность электродвигателей, кВт",
70,Габаритные размеры и масса станка,
71,"Габаритные размеры станка (длина х ширина х высота), мм",2330 х 2490 х 1710
72,"Масса станка с электрооборудованием и охлаждением, кг",5090
