index,Наименование параметра,5310
0,Основные параметры станка,
1,"Наибольший модуль нарезаемого колеса для стали, мм",3
2,"Наибольший модуль нарезаемого колеса для чугуна, мм",4
3,"Наибольший диаметр нарезаемых цилиндрических прямозубых колес (0°) с задней стойкой (с контрподдержкой), мм",60..200
4,"Наибольший диаметр нарезаемых цилиндрических косозубых колес (30°), мм",180
5,"Наибольший диаметр нарезаемых цилиндрических косозубых колес (45°), мм",170
6,"Наибольший угол наклона нарезаемых зубъев обрабатываемых колес, град",±60
7,"Наибольший диаметр червячных нарезаемых колес, мм",60..180
8,"Наибольшая длина венца нарезаемых цилиндрических прямозубых колес (0°), мм",180
9,"Наибольшая ширина группы нарезаемых цилиндрических прямозубых колес (0°), мм",180
10,"Наибольшая длина венца нарезаемых цилиндрических косозубых колес (30°), мм",150
11,"Наибольшая длина венца нарезаемых цилиндрических косозубых колес (60°), мм",20
12,Наименьшее число нарезаемых зубьев,
13,"Расстояние от оси шпинделя до направляющих суппорта, мм",150
14,Стол,
15,"Диаметр стола, мм",150
16,"Наибольшее перемещение отруки/ механически, мм",130/ 130
17,Конус морзе,КМ4
18,"Расстояние между осями стола и фрезы, мм",30..160
19,"Расстояние от плоскости стола до оси фрезы, мм",80..325
20,"Ускоренное перемещение стола, мм/мин",
21,"Ручное перемещение стола на одно деление лимба, мм",
22,"Перемещение упора остановки стола на одно деление лимба, мм",
23,Предохранение от перегрузок,есть
24,Блокировка,есть
25,Блокирующие упоры,есть
26,Суппорт,
27,"Наибольшее перемещение фрезерного суппорта, мм",245
28,"Ускоренное перемещение суппорта, мм/мин",300
29,"Наибольший диаметр режущего инструмента (червячной фрезы), мм",80
30,"Наибольшая длина режущего инструмента (червячной фрезы), мм",80
31,"Диаметры фрезерных оправок, мм",25 х 210
32,"Наибольший угол поворота суппорта, град",±60°
33,"Поворот суппорта на одно деление шкалы линейки, град",1°
34,"Поворот суппорта на одно деление шкалы нониуса, мин",6`
35,Конусное отверстие шпинделя,Морзе 3
36,"Наибольшее осевое перемещение фрезы, мм",100
37,"Наибольшая величина вертикального перемещения суппорта при угле наклона 0°, мм",
38,"Наибольшая величина вертикального перемещения суппорта при угле наклона 30°, мм",
39,"Наибольшая величина вертикального перемещения суппорта при угле наклона 45°, мм",
40,"Наибольшая величина вертикального перемещения суппорта при угле наклона 60°, мм",
41,"Ускоренное перемещение шпинделя вдоль оси, мм/мин",нет
42,Приспособление для быстрой установки суппорта под углом,нет
43,Автоматическое включение обратного хода суппорта,нет
44,Автоматическое выключение станка по окончании обработки изделия,есть
45,Предохранение от перегрузок,есть
46,Механика станка,
47,"Пределы оборотов фрезы, об/мин",63..318
48,Число ступеней оборотов фрезы,8
49,"Пределы продольных (вертикальных) подач фрезы на один оборот стола, мм/об",025..4
50,"Пределы радиальных подач стола на один оборот стола, мм/об",01..1
51,"Пределы тангенциальных подач, мм/об",
52,Число ступеней продольных (вертикальных) подач,
53,Число ступеней радиальных подач,
54,Привод и электрооборудование станка,
55,Количество электродвигателей на станке,3
56,"Электродвигатель главного привода, кВт",17
57,"Электродвигатель ускоренного хода, кВт",1
58,"Электродвигатель привода шагового движения, кВт",
59,"Электродвигатель привода гидронасоса, кВт",
60,"Электродвигатель насоса охлаждения, кВт",012
61,"Суммарная мощность электродвигателей, кВт",
62,Габаритные размеры и масса станка,
63,"Габаритные размеры станка (длина х ширина х высота), мм",1562 х 923 х 1700
64,"Масса станка с электрооборудованием и охлаждением, кг",1550
