index,Наименование параметра,6Н11
0,Основные параметры станка,
1,Класс точности по ГОСТ 8-71 и ГОСТ 8-82,Н
2,"Размеры рабочей поверхности стола (длина х ширина), мм",1000 х 250
3,Наименьшее и наибольшее расстояние от торца шпинделя до стола,30..380
4,"Расстояние от оси вертикального шпинделя до направляющих стойки (вылет), мм",280
5,"Расстояние от задней кромки стола до вертикальных направляющих станины, мм",
6,Шпиндель,
7,"Частота вращения шпинделя, об/мин",65..1800
8,Количество скоростей шпинделя,16
9,Эскиз конца шпинделя,№3 по ГОСТ 836-47
10,Конус шпинделя,45
11,Диаметр отверстия фрез шпинделя,
12,Наибольший допустимый крутящий момент на шпинделе Нм,525
13,Рабочий стол,
14,Число Т-образных пазов Размеры Т-образных пазов,3
15,"Наибольшее перемещение стола продольное от руки/ от двигателя (ось X), мм",600/ 560
16,"Наибольшее перемещение стола поперечное от руки/ от двигателя (ось Y), мм",200/ 190
17,"Наибольшее перемещение стола вертикальное от руки/ от двигателя (ось Z), мм",350/ 340
18,"Наибольший угол поворота стола, град",нет
19,"Цена одного деления шкалы поворота стола, град",нет
20,"Перемещение стола на одно деление лимба (продольное, поперечное), мм",005
21,"Перемещение стола на одно деление лимба (вертикальное), мм",0025
22,"Перемещение стола на один оборот лимба продольное и поперечное, мм",6
23,"Перемещение стола на один оборот лимба вертикальное, мм",3
24,"Наибольшее усилие, допускаемое механизмом подач в продольном/ поперечном/ вертикальном направлении, кг",
25,Механика станка,
26,"Быстрый ход стола продольный (ось X), м/мин",29
27,"Быстрый ход стола поперечный (ось Y), м/мин",23
28,"Быстрый ход стола вертикальный (ось Z), м/мин",115
29,Число ступеней рабочих подач стола,16
30,"Пределы рабочих подач. Продольных (ось X), мм/мин",35..980
31,"Пределы рабочих подач. Поперечных (ось Y), мм/мин",25..765
32,"Пределы рабочих подач. Вертикальных (ось Z), мм/мин",12..380
33,"Выключающие упоры подачи (продольной, поперечной, вертикальной)",есть
34,Автоматическая прерывная подача в продольном/ поперечном/ вертикальном направлении,
35,Блокировка ручной и механической подачи (продольной),нет
36,"Блокировка ручной и механической подачи (поперечной, вертикальной)",есть
37,Торможение шпинделя (муфта),есть
38,Предохранение от перегрузки (муфта),есть
39,Привод,
40,"Электродвигатель привода главного движения, кВт (об/мин)",45
41,"Электродвигатель привода подач, кВт",17
42,Электронасос охлаждающей жидкости Тип,ПА-22
43,"Электродвигатель насоса охлаждающей жидкости, кВт",012
44,"Производительность насоса СОЖ, л/мин",22
45,Габарит и масса станка,
46,"Габариты станка (длина ширина высота), мм",2060 х 1530 х 2300
47,"Масса станка, кг",2100
