index,Наименование параметра,5М14
0,Основные параметры станка,
1,"Наибольший диаметр нарезаемых цилиндрических прямозубых колес, мм",20..500
2,"Наибольший диаметр нарезаемых колес с внутренним зацеплением, мм",550
3,"Наибольший модуль нарезаемого колеса, мм",2..6
4,"Наибольшая длина зуба наружного зацепления (длина нарезки), мм",105
5,"Наибольшая длина зуба (длина нарезки) внутреннего зацепления, мм",75
6,"Наибольший угол наклона винтового зуба, град",23°
7,"Наибольшее расстояние от оси долбяка (шпинделя, штосселя) до оси стола (планшайбы), мм",0..350
8,"Расстояние от зеркала стола (планшайбы) до торца шпинделя, мм",45..170
9,Суппорт. Штоссель (Шпиндель),
10,"Наибольшее продольное перемещение суппорта, мм",500
11,"Наибольший ход штосселя долбяка, мм",125
12,"Цена деления шкалы установки глубины долбления зуба, мм",002
13,"Наибольший диаметр устанавливаемого долбяка, мм",
14,Пределы чисел двойных ходов долбяка в минуту,"124, 179, 265, 400"
15,"Диаметр оправки под долбяк, мм",
16,Конец шпинделя для крепления инструмента,
17,Рабочий стол (планшайба),
18,"Диаметр фланца рабочего стола (планшайбы), мм",
19,"Диаметр отверстия в шпинделе рабочего стола, мм",
20,"Наибольший отход стола от режущей кромки инструмента во время холостого хода, мм",
21,"Быстрое вращение стола, об/мин",
22,"Цена деления лимба установки межцентрового расстояния, мм",
23,Автоматический подвод,
24,Автоматический останов,
25,Привод и электрооборудование станка,
26,Количество электродвигателей на станке,3
27,"Электродвигатель главного привода, кВт",28
28,"Электродвигатель привода быстрого вращения стола, кВт",06
29,"Электродвигатель насоса охлаждения, кВт",012
30,"Суммарная мощность электродвигателей, кВт",
31,Габаритные размеры и масса станка,
32,"Габаритные размеры станка (длина х ширина х высота), мм",1800 х 1350 х 2200
33,"Масса станка с электрооборудованием и охлаждением, кг",3450
