index,Наименование параметра,СФ-15
0,Основные параметры станка,
1,"Размеры поверхности стола, мм",1250 х 320
2,"Наибольшая масса обрабатываемой детали, кг",
3,"Расстояние от торца шпинделя до стола, мм",460
4,"Расстояние от оси шпинделя до вертикальных направляющих станины (вылет), мм",400
5,Рабочий стол,
6,"Наибольший продольный ход стола (X), мм",950
7,"Наибольший поперечный ход стола (Y), мм",300
8,"Наибольший вертикальный ход стола (Z), мм",410
9,"Перемещение стола на одно деление лимба продольное (X), поперечное (Y), мм",005
10,"Перемещение стола на одно деление лимба вертикальное (Z), мм",001
11,"Пределы продольных и поперечных подач стола (X, Y), мм/мин",20..2500
12,"Пределы вертикальных подач стола (Z), мм/мин",8..400
13,Количество подач продольных/ поперечных/ вертикальных,18
14,"Скорость быстрых перемещений продольных (X), поперечных (Y), м/мин",25
15,"Скорость быстрых перемещений вертикальных (Z), м/мин",1
16,"Усилие, допускаемое механизмом подач для продольной подачи (X), кг",1400
17,"Усилие, допускаемое механизмом подач для поперечной подачи (Y), кг",410
18,"Усилие, допускаемое механизмом подач для вертикальной подачи (Z), кг",740
19,Шпиндель,
20,"Частота вращения шпинделя, об/мин",315..1600
21,Количество скоростей шпинделя,18
22,"Перемещение пиноли шпинделя, мм",80
23,Конец шпинделя. Конус фрезерного шпинделя,50 ГОСТ 15945-70
24,"Поворот шпиндельной головки вправо и влево, град",±45°
25,Механика станка,
26,"Выключающие упоры подачи (продольной, поперечной, вертикальной)",Есть
27,"Блокировка ручной и механической подач (продольной, поперечной, вертикальной)",Есть
28,Блокировка раздельного включения подач,Есть
29,Торможение шпинделя,Есть
30,Предохранительная муфта от перегрузок,Есть
31,Автоматическая прерывистая подача,Есть
32,"Электрооборудование, привод",
33,Количество электродвигателей на станке,4
34,"Электродвигатель привода главного движения, кВт (об/мин)",55
35,"Электродвигатель привода подач, кВт (об/мин)",15
36,"Электродвигатель насоса механизма выбора люфта, кВт (об/мин)",008
37,"Электродвигатель зажима инструмента, кВт",-
38,"Электродвигатель насоса охлаждающей жидкости, кВт (об/мин)",0125
39,"Суммарная мощность всех электродвигателей, кВт",
40,Габарит и масса станка,
41,"Габариты станка (длина ширина высота), мм",2000 х 2230 х 2030
42,"Масса станка, кг",3000
