index,Наименование параметра,1М365
0,Основные параметры станка,
1,"Наибольший диаметр обрабатываемого изделия над станиной, мм",500
2,"Наибольший диаметр обрабатываемого изделия над поперечным суппортом, мм",320
3,"Высота центров, мм",250
4,"Расстояние от торца шпинделя до револьверной головки, мм",275..1000
5,Шпиндель,
6,"Диаметр отверстия в шпинделе, мм",80
7,Количество рабочих скоростей шпинделя,12
8,"Пределы чисел оборотов шпинделя, об/мин",34..1500
9,"Пределы чисел оборотов шпинделя (обратное вращение), об/мин",34..1500
10,Конец шпинделя фланцевый по ГОСТ 12595-75,1-8Ц
11,"Наибольший крутящий момент на шпинделе не менее, Нм (кг*м)",
12,Револьверный суппорт,
13,Тип револьверной головки по ГОСТ 3859-72,2 шестигранная
14,Количество инструментов в револьверной головке,6
15,"Диаметр отверстия под инструмент в револьверной головке, мм",95Н7
16,"Наибольшее продольное перемещение револьверного суппорта, мм",725
17,Количество ступеней подач,13
18,"Диапазон скоростей продольных подач револьверного суппорта, I ряд, мм/об (количество ступеней)","0,09..1,35 (9)"
19,"Диапазон скоростей продольных подач револьверного суппорта, II ряд, мм/об (количество ступеней)","0,18..2,70 (9)"
20,"Скорость быстрого продольного перемещения револьверного суппорта, м/мин (количество ступеней)",6
21,Число упоров револьверного суппорта,6
22,"Перемещение на одно деление лимба, мм",02
23,"Перемещение на один оборот лимба, мм",45
24,Поперечный суппорт,
25,Количество резцов в резцедержателе,4
26,Количество резцов в заднем резцедержателе,1
27,"Наибольшая ширина х длина резца, мм",20 х 32
28,"Наибольшее перемещение поперечного суппорта продольное/поперечное, мм",725/ 310
29,Количество ступеней продольных подач поперечного суппорта,13
30,"Диапазон скоростей продольных подач поперечного суппорта, I ряд, мм/об (число ступеней)","0,09..1,35 (9)"
31,"Диапазон скоростей продольных подач поперечного суппорта, II ряд, мм/об (число ступеней)","0,18..2,70 (9)"
32,Количество ступеней поперечных подач поперечного суппорта,12
33,"Диапазон скоростей поперечных подач поперечного суппорта, I ряд, мм/об (число ступеней)","0,045..0,7 (9)"
34,"Диапазон скоростей поперечных подач поперечного суппорта, II ряд, мм/об (число ступеней)","0,09..1,35 (9)"
35,"Скорость быстрого продольного перемещения суппорта, м/мин",6
36,Число упоров продольного перемещения,5
37,Число упоров поперечного перемещения,2
38,"Перемещение на одно деление лимба продольное/поперечное, мм","0,2/ 0,05"
39,"Перемещение на один оборот лимба продольное/поперечное, мм",45/ 10
40,Электрооборудование станка,
41,"Количество электродвигателей на станке, кВт",2
42,"Электродвигатель главного привода, кВт (об/мин)",15 (1450)
43,"Электродвигатель гидропривода, кВт (об/мин)",-
44,"Электродвигатель насоса охлаждения, кВт (об/мин)","0,125 (2800)"
45,Габариты и масса станка,
46,"Габаритные размеры станка (длина, ширина, высота), мм",3430 х 1500 х 1739
47,"Масса станка , кг",4150
