index,Наименование параметра,2К550В
0,Основные параметры станка,
1,Класс точности станка,Н
2,"Наибольший условный диаметр сверления в стали 45 ГОСТ 1050-88, НВ 207..229, мм",55
3,"Наибольший условный диаметр сверления в чугуне СЧ20 ГОСТ 1412-85, мм",65
4,"Диапазон нарезаемой резьбы в стали 45 ГОСТ 1050-88, мм",М45
5,"Расстояние от оси шпинделя до направляющей колонны (вылет шпинделя), мм",370..1600
6,"Наибольшее горизонтальное перемещение сверлильной головки по рукаву, мм",1280
7,"Наименьшее и наибольшее расстояние от торца шпинделя до плиты, мм",580..1600
8,"Наибольшее вертикальное перемещение рукава по колонне (установочное), мм",720
9,"Скорость вертикального перемещения рукава по колонне, м/мин",
10,"Угол поворота рукава вокруг колонны, град",360°
11,"Рамер поверхности плиты (ширина длина), мм",900 х 1670
12,"Наибольшая масса инструмента, устанавливаемого на станке, кг",
13,Шпиндель,
14,"Наибольшее осевое перемещение пиноли шпинделя (ход шпинделя), мм",300
15,"Перемещение шпинделя на одно деление лимба, мм",1
16,"Перемещение шпинделя на оборот лимба, мм",1226
17,"Диаметр гильзы шпинделя, мм",
18,Обозначение конца шпинделя по ГОСТ 24644,Морзе 5 АТ6
19,"Частота прямого вращения шпинделя, об/мин",40..1730
20,Количество скоростей шпинделя прямого вращения,12
21,"Пределы рабочих подач на один оборот шпинделя, мм/об",06..15
22,Число ступеней рабочих подач,9
23,"Пределы рабочих подач на один оборот шпинделя при нарезании резьбы, мм",
24,"Наибольший допустимый крутящий момент на шпинделе, Н*м",600
25,"Наибольшее усилие подачи, кН",20
26,Зажим вращения колонны в цоколе,Автом
27,Зажим рукава на колонне,Автом
28,Зажим сверлильной головки на рукаве,
29,Отключение подачи при достижении заданной глубины сверления,Автом/ ручн
30,Включение реверса шпинделя при достижении заданной глубины резьбы,Автом/ ручн
31,Электрооборудование. Привод,
32,Количество электродвигателей на станке,4
33,"Электродвигатель привода главного движения, кВт (об/мин)",4
34,"Электродвигатель привода перемещения рукава, кВт (об/мин)",15
35,"Электродвигатель привода гидрозажима колонны, кВт (об/мин)",15
36,"Электродвигатель привода гидрозажима сверлильной головки, кВт (об/мин)",-
37,"Электродвигатель насоса охлаждающей жидкости, кВт (об/мин)",018
38,"Электродвигатель набора скоростей, кВт (об/мин)",-
39,"Электродвигатель набора подач, кВт",-
40,"Электродвигатель привода ускоренного перемещения шпинделя, кВт",-
41,"Суммарная мощность установленных электродвигателей, кВт",
42,Габариты и масса станка,
43,"Габариты станка (длина ширина высота), мм",2500 х 900 х 2700
44,"Масса станка, кг",3500
