index,Наименование параметра,1601
0,Основные параметры станка,
1,Класс точности,
2,"Наибольший диаметр заготовки над станиной, мм",125
3,"Наибольший диаметр заготовки над суппортом, мм",60
4,"Высота центров над плоскими направляющими станины, мм",
5,"Наибольшая длина заготовки в центрах (РМЦ), мм",185
6,"Наибольшая высота резца, мм",
7,Шпиндель,
8,"Диаметр сквозного отверстия в шпинделе, мм",
9,Конус Морзе шпинделя,
10,Число ступеней частот вращения шпинделя,Б/с
11,"Частота вращения шпинделя, об/мин",530..5300
12,Суппорт. Подачи,
13,"Наибольшее продольное перемещение суппорта (без переустановки), мм",
14,"Наибольшее поперечное перемещение суппорта, мм",
15,"Перемещение суппорта поперечное на одно деление лимба, мм",
16,"Наибольшее перемещение верхних (резцовых) салазок, мм",
17,"Перемещение резцовых салазок на одно деление лимба, мм",
18,"Угол поворота верхней каретки суппорта, град",
19,"Продольные подачи, об/мин",-
20,"Шаг нарезаемой метрической резьбы, мм",-
21,"Шаг нарезаемой дюймовой резьбы, число ниток на дюйм",-
22,"Шаг нарезаемой модульной резьбы, мм",-
23,Задняя бабка,
24,Конус Морзе задней бабки,
25,"Наибольшее перемещение пиноли, мм",
26,Электрооборудование,
27,"Электродвигатель главного привода, кВт (об/мин)",06
28,Габариты и масса станка,
29,"Габариты станка (длина ширина высота), мм",880 х 595 х 1270
30,"Масса станка, кг",210
