index,Наименование параметра,УГ8
0,Основные параметры,
1,Количество позиций,8
2,"Расстояние от базовой поверхности до оси головки, мм",121
3,"Диаметр отверстия в инструментальном диске под резцедержатели по ГОСТ 24900, мм",40H7
4,"Максимальный допустимый крутящий (опрокидывающий) момент от усилия резания, кНм",28
5,"Стабильность индексации головки в радиальном направлении, мкм, не более:",3
6,"Стабильность индексации головки в осевом направлении, мкм, не более:",6
7,"Максимальная масса режущих и вспомогательных инструментов, кг",
8,Направление вращения,Реверс.
9,"Время смены инструмента min/ max, сек",
10,"Посадочная поверхность инструментального диска: диаметр, мм",Ø50h6
11,"Электрооборудование, привод головки",
12,"Напряжение питающей сети, В",~380 50Гц
13,"Напряжение цепи управления, В",24
14,"Электродвигатель привода, кВт",037
15,Тип датчика,Фото
16,Выходной сигнал,кодовый 1-2-4-8 24В
17,Габариты и масса автоматической головки,
18,"Габаритные размеры основания головки, мм",540 х 430 х 550
19,"Масса автоматической головки, кг",185
