index,Наименование параметра,1М425
0,Основные параметры станка,
1,Основные параметры станка,
2,Класс точности по ГОСТ 8-82,Н
3,"Наибольший диаметр обрабатываемого изделия, мм",250
4,"Наибольшая длина обрабатываемого изделия, мм",175
5,"Расстояние от торца шпинделя до грани револьверной головки, мм",
6,"Расстояние от оси шпинделя до грани поперечного суппорта, мм",
7,Шпиндель,
8,"Диаметр отверстия в шпинделе, мм",52
9,Количество рабочих скоростей шпинделя,28
10,"Пределы чисел оборотов шпинделя, об/мин (число диапазонов)",63..1600 (7)
11,"Переключение чисел оборотов шпинделя в пределах диапазона, об/мин",автомат
12,"Диаметр зажимного патрона, мм",250
13,Конец шпинделя,1-6ц
14,Суппорты,
15,Количество упоров револьверного суппорта,
16,"Величина регулировки упорами, мм",
17,"Быстрое перемещение, м/мин",
18,"Подачи продольного револьверного суппорта, мм/мин",10..400
19,Переключение подач продольного револьверного суппорта,автомат
20,"Количество инструментов револьверного суппорта, мм/мин",4
21,Количество упоров вертикального и горизонтального суппорта,
22,"Величина регулировки упором, мм",
23,"Быстрое перемещение, м/мин",
24,"Подачи поперечного вертикального и горизонтального суппорта, мм/мин",10..200
25,Переключение подач продольного вертикального и горизонтального суппорта,Установочноое
26,Электрооборудование станка,
27,"Количество электродвигателей на станке, кВт (об/мин)",4
28,"Электродвигатель главного привода, кВт (об/мин)",13/ 9 (1460/ 730)
29,"Электродвигатель гидропривода, кВт (об/мин)",4 (960)
30,"Электродвигатель насоса охлаждения, кВт (об/мин)","0,125 (3000)"
31,"Электродвигатель шнекового транспортера, кВт (об/мин)","0,55 (1370)"
32,Габариты и масса станка,
33,"Габаритные размеры станка (длина, ширина, высота), мм",2157 х 2500 х 2200
34,"Масса станка, кг",5250
