index,Наименование параметра,3А175
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,П
2,"Наибольший диаметр обрабатываемого изделия, мм",400
3,"Наибольшая длина обрабатываемого изделия, мм",2800
4,"Наибольший диаметр шлифования в люнете/ без люнета, мм",120/ 400
5,"Наименьший диаметр шлифования при изношенном круге, мм",130
6,"Расстояние от оси шпинделя передней бабки до зеркала стола (высота центров), мм",210
7,"Наибольшая масса обрабатываемого изделия, кг",1000
8,Конус шпинделя передней бабки и пиноли задней бабки по ГОСТ 2847-67,Морзе 5
9,"Конец шлифовального шпинделя по ГОСТ 2323-67 (конусность 1:5, номинальный диаметр), мм",
10,"Диаметр передней опорной шейки шлифовального шпинделя, мм",110f7
11,Рабочий стол станка,
12,"Наибольшая длина перемещения стола, мм",2800
13,"Ручное перемещения стола за один оборот маховика, мм",2
14,"Скорость перемещения стола от гидросистемы, м/мин",005..50
15,"Наибольший угол поворота верхнего стола по часовой стрелке, град",2
16,"Наибольший угол поворота верхнего стола против часовой стрелки, град",4
17,"Цена деления шкалы поворота верхнего стола, град",02
18,"Наименьший ход стола от гидросистемы (при сведенных упорах), мм 8",
19,Шлифовальная бабка,
20,"Диаметр шлифовального круга - наибольший/ наименьший/ посадочный, мм",750/ 500/ 305
21,"Диаметр шлифуемого изделия при диаметре круга 500мм, мм",130..400
22,"Диаметр шлифуемого изделия при диаметре круга 600мм, мм",30..400
23,"Диаметр шлифуемого изделия при диаметре круга 700мм, мм",20..400
24,"Диаметр шлифуемого изделия при диаметре круга 750мм, мм",0..400
25,"Наибольшая высота устанавливаемого круга, мм","80, 100"
26,"Частота вращения шпинделя шлифовальной бабки, об/мин",1270
27,"Скорость резания шлифовального круга, м/с","35, 50"
28,Механизм поперечных подач,
29,"Наибольшее перемещение шлифовальной бабки по винту, мм",365
30,"Величина быстрого подвода шлифовальной бабки, мм",100
31,"Время быстрого подвода шлифовальной бабки, с",3
32,"Периодическая подача шлифовальной бабки при реверсе стола (бесступенчатое регулирование), мм",00025..005
33,"Пределы скоростей врезных подач, мм/мин",01..4
34,"Толчковая подача, мм",0001
35,"Цена деления лимба поперечного перемещения шлифовальной бабки, мм",0005
36,"Величина поперечного перемещения шлифовальной бабки за один оборот маховика, мм",05
37,Передняя бабка,
38,"Частота вращения изделия (бесступенчатое регулирование), об/мин",20..180
39,Конус центра по ГОСТ 13214-67,Морзе 6
40,Задняя бабка,
41,"Величина отвода пиноли задней бабки, мм",70
42,Конус центра по ГОСТ 13214-67,Морзе 6
43,Привод и электрооборудование станка,
44,Количество электродвигателей на станке,8
45,"Электродвигатель шпинделя шлифовальной бабки, кВт",17
46,"Электродвигатель привода изделия, кВт",15
47,"Электродвигатель насоса гидросистемы, кВт",22
48,"Электродвигатель насоса системы смазки подшипников шпинделя, кВт",027
49,"Электродвигатель насоса системы смазки направляющих стола, кВт",008
50,"Электродвигатель насоса системы охлаждения, кВт",015
51,"Электродвигатель привода пиноли задней бабки, кВт",018
52,"Электродвигатель магнитного сепаратора, кВт",012
53,"Общая мощность электродвигателей, кВт",215
54,Габаритные размеры и масса станка,
55,"Габаритные размеры станка (длина х ширина х высота), мм",8220 х 2620 х 1850
56,"Масса станка с электрооборудованием и охлаждением, кг",14700
