index,Наименование параметра,6А56
0,Основные параметры станка,
1,"Наибольшие размеры обрабатываемой заготовки (длина х ширина х высота), мм",2000 х 800 х 800
2,"Наибольшая масса обрабатываемой заготовки, кг",4000
3,"Размеры поверхности стола, мм",800 х 2000
4,"Расстояние от торца шпинделя до поверхности стола, мм",100..900
5,"Расстояние от оси шпинделя до вертикальных направляющих (вылет), мм",800
6,"Наибольшее перемещение стола в продольном направлении, мм",1600
7,"Наибольшее перемещение стола в поперечном направлении, мм",750
8,"Продольные и поперечные подачи стола (бесступенчатое регулирование), мм/мин",6..1000
9,"Быстрые продольные и поперечные перемещение стола, мм/мин",3000
10,Шпиндель. Бабка шпиндельная,
11,"Вертикальное (установочное) перемещение бабки, мм",800
12,"Наибольший расчетный диаметр торцевых фрез, мм",400
13,"Частота вращения шпинделя, об/мин","25..1250 (φ = 1,26)"
14,Количество скоростей шпинделя,18
15,Ход гильзы шпинделя,150
16,"Скорость подачи шпинделя (бесступенчатое регулирование), мм/мин",6..250
17,"Скорость установочного вертикального перемещения бабки, м/мин",
18,"Наибольший крутящий момент на шпинделе, кгс*м",392
19,"Наибольшее усилие резания, допускаемое механизмом подачи бабки, кгс",
20,"Наибольший угол поворота шпиндельной бабки, град",нет
21,"Цена деления шкалы поворота шпиндельной бабки, мин",
22,Конус отверстия шпинделя,
23,Конец шпинделя,50
24,Электрооборудование и привод станка,
25,Количество электродвигателей на станке,
26,"Электродвигатель привода главного движения, кВт",22
27,"Электродвигатель постоянного тока привода подач стола и бабки, кВт",33
28,"Электродвигатель привода насоса гидростанции, кВт",15
29,"Электродвигатель насоса смазки, кВт",027
30,"Электродвигатель насоса охлаждения, кВт",012
31,"Суммарная мощность установленных на станке электродвигателей, кВт",
32,Габаритные размеры и масса станка,
33,"Габаритные размеры (длина х ширина х высота), мм",5300 х 3900 х 4000
34,"Масса станка, кг",19100
