index,Наименование параметра,ВЗ-318
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,В
2,"Наибольшие размеры обрабатываемых изделий в центрах (длина х диаметр), мм",Ø 200 х 500
3,"Наибольшая длина обрабатываемой поверхности, мм, мм",225
4,"Высота центров над рабочим столом, мм",
5,Рабочий стол станка,
6,"Размеры рабочей поверхности стола по ГОСТ 6569-75 (длина х ширина), мм",
7,"Наибольшее продольное перемещение стола, мм",350
8,"Угол поворота стола в горизонтальной плоскости, град",±45°
9,"Угол поворота стола в горизонтальной плоскости по шкале точного поворота, град",±8°
10,"Скорость продольного перемещения стола (регулируется бесступенчато), м/мин",ручн
11,Бабка шлифовальная,
12,"Наибольшее вертикальное перемещение бабки, мм",200
13,"Цена деления лимба подачи вертикального перемещения стола, мм",
14,"Наибольшее поперечное перемещение бабки, мм",200
15,"Цена деления лимба подачи поперечного перемещения, мм",
16,Шлифовальная головка,
17,"Число оборотов заточного круга при ступенчатом регулировании, об/мин","2800,4000, 5600,8000"
18,"Число оборотов заточного круга при бесступенчатом регулировании, об/мин",
19,"Угол поворота шлифовальной головки в горизонтальной плоскости, град",360°
20,Конец шлифовального шпинделя по ГОСТ 2324-77 исполнение 2,
21,"Наибольший диаметр устанавливаемого алмазного и эльборового шлифовального круга по ГОСТ 2424-83, мм",150 х 16 х 32
22,"Наибольший диаметр устанавливаемого шлифовального круга других типов, мм",125 х 50 х 32
23,"Наибольший угол поворота шлифовальной головки в горизонтальной плоскости, град",360°
24,"Наибольший угол поворота шлифовальной головки в вертикальной плоскости, град",+200° -20°
25,Электрооборудование и привод станка,
26,Количество электродвигателей на станке,
27,"Электродвигатель привода шпинделя, кВт (об/мин)","0,71/ 0,85"
28,"Электродвигатель вертикального перемещения шлифовальной бабки, кВт (об/мин)",
29,"Электродвигатель вертикального перемещения шлифовальной головки, кВт (об/мин)",
30,"Электродвигатель привода изделия, кВт (об/мин)",
31,"Электродвигатель гидропривода, кВт (об/мин)",
32,"Производительность насоса гидропривода, л/мин",
33,"Электродвигатель насоса охлаждения, кВт (об/мин)",
34,"Производительность насоса охлаждения, л/мин",
35,"Общая установленная мощность всех электродвигателей при ступенчатом/ бесступенчатом регулировании, кВт","0,89 /1,03"
36,род тока питающей сети,"50Гц, 380/220 В"
37,Габариты и масса станка,
38,"Габарит станка, мм",1185 х 1195 х 1630
39,"Масса станка, кг",1020
