index,Наименование параметра,1А625
0,Основные параметры станка,
1,Класс точности по ГОСТ 8-82,Н
2,"Наибольший диаметр заготовки над станиной, мм",500
3,"Наибольший диаметр заготовки над суппортом, мм",290
4,"Наибольшая длина заготовки (РМЦ), мм","1000, 1500, 2000"
5,"Наибольшая масса заготовки в патроне, кг",
6,"Наибольшая масса заготовки в центрах, кг",
7,Коробка скоростей. Шпиндель,
8,"Диаметр сквозного отверстия в шпинделе, мм",56
9,"Наибольший диаметр прутка, мм",54
10,Число ступеней частот прямого вращения шпинделя,15
11,"Частота прямого вращения шпинделя, об/мин",115..2000
12,Число ступеней частот обратного вращения шпинделя,15
13,"Частота обратного вращения шпинделя, об/мин",14..2400
14,"Размер внутреннего конуса в шпинделе, М",
15,Конец шпинделя по ГОСТ 12593-72,
16,Суппорт,
17,"Наибольший поперечный ход суппорта, мм",325
18,"Наибольший продольный ход суппорта, мм","1000, 1500, 2000"
19,"Наибольший ход верхнего суппорта (резцовых салазок), мм",150
20,Коробка подач,
21,"Наибольшая длина хода каретки, мм",
22,Число ступеней продольных подач,48
23,"Пределы рабочих подач продольных, мм/об",007..40
24,Число ступеней поперечных подач,48
25,"Пределы рабочих подач поперечных, мм/об",0035..20
26,"Скорость быстрых перемещений суппорта, продольных, м/мин",4
27,"Скорость быстрых перемещений суппорта, поперечных, м/мин",2
28,Количество нарезаемых резьб метрических,
29,"Пределы шагов нарезаемых резьб метрических, мм",025..15
30,Количество нарезаемых резьб дюймовых,
31,Пределы шагов нарезаемых резьб дюймовых,120..2
32,Количество нарезаемых резьб модульных,
33,Пределы шагов нарезаемых резьб модульных,0125..75
34,Количество нарезаемых резьб питчевых,
35,Пределы шагов нарезаемых резьб питчевых,4..240
36,Электрооборудование,
37,Количество электродвигателей на станке,3
38,"Электродвигатель главного привода, кВт",10
39,"Электродвигатель быстрых перемещений, кВт",06
40,"Электродвигатель гидростанции, кВт",нет
41,"Электродвигатель насоса охлаждения, кВт",0125
42,Насос охлаждения (помпа),ПА-22
43,Габариты и масса станка,
44,"Габариты станка (длина ширина высота) (РМЦ = 1000), мм",2820 1202 1280
45,"Масса станка (РМЦ = 1000), кг",2820
