index,Наименование параметра,5В312
0,Основные параметры станка,
1,"Наибольший диаметр нарезаемых цилиндрических прямозубых колес (β=0°), мм",320
2,"Наибольший модуль нарезаемого колеса, мм",6
3,"Наибольший диаметр нарезаемых цилиндрических косозубых колес (β=30°), мм",200
4,"Наибольший диаметр нарезаемых цилиндрических косозубых колес (β=45°), мм",180
5,"Наибольший угол наклона нарезаемых зубьев обрабатываемых колес, град",±45°
6,Наименьшее число нарезаемых зубьев,6
7,"Расстояние между осями фрезы и стола (оси шпинделя изделия), мм",55..245
8,"Расстояние от плоскости стола (торца шпинделя изделия) до оси фрезы, мм",120..300
9,"Расстояние от верхнего центра до торца шпинделя изделия, мм",100..540
10,"Наибольшая длина венца нарезаемых цилиндрических прямозубых колес (β=0°), мм",
11,"Наибольшая длина венца нарезаемых цилиндрических косозубых колес (β=30°), мм",
12,"Наибольшая длина венца нарезаемых цилиндрических косозубых колес (β=45°), мм",
13,Стол,
14,"Диаметр стола, мм",
15,"Величина наибольшего вертикального перемещения стола, мм",180
16,"Скорость быстрого перемещения стола, м/мин",055
17,"Рабочие подачи стола, мм/мин",25..100
18,"Величина наибольшего вертикального перемещения стола при нарезании прямозубых зубчатых колес (0°), мм",180
19,"Величина наибольшего вертикального перемещения стола при нарезании прямозубых зубчатых колес с углом наклона (30°), мм",110
20,"Величина наибольшего вертикального перемещения стола при нарезании прямозубых зубчатых колес с углом наклона (45°), мм",90
21,Суппорт,
22,"Величина наибольшего горизонтального (межосевого) перемещения стойки фрезерного суппорта, мм",190
23,"Угол поворота фрезерного суппорта, град",180°
24,"Поворот суппорта на одно деление шкалы линейки, град",1°
25,"Поворот суппорта на одно деление шкалы нониуса, мин",5`
26,"Величина наибольшего осевого перемещения фрезы, мм",75
27,"Ускоренное перемещение стойки суппорта, м/мин",12
28,"Цена деления лимба установки межцентрового расстояния, мм",002
29,"Частота вращения фрезы, мм (число ступеней)",100..500 (8)
30,"Наибольшие размеры режущего инструмента - червячной фрезы (диаметр х длина), мм",Ø 160 х 145
31,Автоматический подвод стойки,Есть
32,Автоматический останов стойки с помощью гидроцилиндра,Есть
33,Автоматический зажим стойки в переднем положении,Есть
34,"Ускоренное перемещение шпинделя вдоль оси, мм/мин",нет
35,"Конус фрезерных оправок, мм",Морзе 5
36,Конусное отверстие шпинделя фрезы,Морзе 5
37,Привод и электрооборудование станка,
38,Количество электродвигателей на станке,
39,"Электродвигатель главного привода, кВт (об/мин)","7,5 (1460)"
40,"Электродвигатель привода подачи, кВт (об/мин)","2,2 (2860)"
41,"Электродвигатель гидропривода, кВт",15
42,"Электродвигатель насоса охлаждения, кВт",06
43,"Суммарная мощность электродвигателей, кВт",
44,Габаритные размеры и масса станка,
45,"Габаритные размеры станка (длина х ширина х высота), мм",1790 х 1000 х 2450
46,"Масса станка с электрооборудованием и охлаждением, кг",5250
