index,Наименование параметра,1512Ф1
0,Основные параметры,
1,"Наибольший диаметр изделия, обрабатываемого вертикальным и боковым суппортами, мм",1250
2,"Наибольшая высота обрабатываемого изделия, мм",1000
3,"Диаметр планшайбы, мм",1120
4,"Наибольшая масса устанавливаемого изделия, кг",4000
5,при 5—80 оборотах планшайбы в минуту,3200
6,при 100 оборотах планшайбы в минуту,3000
7,при 125 оборотах планшайбы в минуту,2700
8,при 160 оборотах планшайбы в минуту,1900
9,при 200 оборотах планшайбы в минуту,1300
10,при 250 оборотах планшайбы в минуту,1000
11,Вертикальный суппорт,
12,"Наибольшее горизонтальное перемещение, мм",775
13,"Наибольшее вертикальное перемещение, мм",700
14,"Цена деления лимба горизонтального и вертикального перемещения, мм",005
15,"Горизонтальное и вертикальное перемещение за один оборот лимба, мм",25
16,"Наибольший угол поворота ползуна суппорта, град",45
17,"Цена деления лимба поворота ползуна суппорта, мин",1
18,"Цена деления шкалы поворота ползуна суппорта, град",1
19,"Диаметр отверстий револьверной головки суппорта, мм",70А
20,"Наибольшие размеры сечения державки резца (ширина х высота), мм",25 х 40
21,Горизонтальный суппорт (боковой),
22,"Наибольшее горизонтальное перемещение, мм",630
23,"Наибольшее вертикальное перемещение, мм",1000
24,"Цена деления лимба горизонтального и вертикального перемещения, мм",005
25,"Горизонтальное и вертикальное перемещения за один оборот лимба, мм",25
26,Поперечина,
27,"Наибольшее перемещение, мм",660
28,"Скорость перемещения, мм/мин",400
29,Выключающие упоры,Имеются
30,Блокировка перемещения в процессе резания,Имеется
31,Механика станка,
32,Число скоростей планшайбы,18
33,Число оборотов планшайбы в минуту,5 — 250
34,Число подач суппортов,18
35,"Вертикальные и горизонтальные подачи суппортов, мм/об","0,03 — 12,5"
36,"Наибольшее допускаемое усилие резания двумя суппортами, кгс",4500
37,"Скорость установочных перемещений суппортов, мм/мин",5 — 1800
38,Привод и электрооборудование станка,
39,Род тока питающей электросети,Переменный трехфазный
40,Количество электродвигателей на станке,6
41,"Электродвигатель привода главного движения, кВт",30
42,"Электродвигатель установочных перемещений суппорта, кВт",3
43,"Электродвигатель перемещения поперечины, кВт",2
44,"Электродвигатель смазки, кВт",15
45,"Электродвигатель поворота и зажима револьверной головки, кВт",08
46,Габарит и масса станка,
47,"Габарит станка (длнна х ширина х высота), мм",2750 х 2975 х 4100
48,"Масса станка, кг",16 500
