index,Наименование параметра,1715ИФФ3
0,Основные параметры станка,
1,Класс точности станка по ГОСТ 8-82,Н
2,"Размеры поверхности стола, мм",Ø 320
3,"Угол вращения поворотного стола, град",±360°
4,"Наибольшее перемещение в продольном направлении (ось X), мм",320
5,"Наибольшее перемещение в поперечном направлении (ось Z), мм",320
6,"Вертикальное перемещение бабки (ось Y), мм",270
7,"Рабочая подача в продольном направлении (ось X), мм/мин",0..100
8,"Рабочая подача в поперечном направлении (ось Z), мм/мин",0..100
9,"Рабочая подача в вертикальном направлении (ось Y), мм/мин",0..120
10,"Наибольшая масса обрабатываемой детали, кг",
11,Шпиндель. Бабка шпиндельная,
12,"Частота вращения шпинделя, об/мин",0..4500
13,Инструментальный магазин,
14,Количество инструментов в магазине,20
15,"Время смены инструмента, с",14
16,"Максимальный диаметр инструмента при занятой соседней позиции, мм",75
17,"Максимальный диаметр инструмента при свободной соседней позиции, мм",140
18,"Максимальная длина инструмента, мм",300
19,"Максимальная масса инструмента, кг",8
20,Система ЧПУ,Sinumeric 808D
21,Суммарная мощность станка кВт,12
22,Габаритные размеры и масса станка,
23,"Габаритные размеры (длина х ширина х высота), мм",1600 х 1420 х 2250
24,"Масса станка, кг",3850
