index,Наименование параметра,3К833
0,Основные параметры станка,
1,Класс точности по ГОСТ 8-82,Н
2,"Диаметр хонингования наименьший/ наибольший/ допустимый, мм",30/ 125/ 165
3,"Длина хонингования, мм",30..400
4,"Расстояние от оси шпинделя до направляющих (вылет), мм",300
5,"Расстояние от торца шпинделя до поверхности плиты, мм",700..1200
6,"Размер рабочей поверхности стола, мм",500 х 1000
7,Шпиндель станка,
8,"Частота вращения шпинделя, об/мин","160, 250, 400"
9,"Ход шпинделя, мм",500
10,Конус шпинделя по ГОСТ 25557-82,
11,"Скорость возвратно-поступательного движения шпинделя, м/мин",3..18 б/с
12,"Давление в гидросистеме возвратно-поступательного движения шпинделя, МПа",30..40
13,"Ход толкателя разжима брусков, мм",40
14,"Давление в гидросистеме разжима брусков, МПа",06..200
15,"Наибольший крутящий момент на шпинделе, кНм",195
16,"Наибольшее осевое усилие на шпинделе, кН",45
17,Привод станка,
18,Количество электродвигателей на станке,3
19,"Электродвигатель привода главного движения - вращения шпинделя (ДШ)(М2), кВт",40
20,"Электродвигатель привода возвратно-поступательного движения (ДП), кВт",нет
21,"Электродвигатель привода гидравлики (М1), кВт",40
22,"Электродвигатель охлаждения (ДО)(М3), кВт",012
23,"Общая мощность электродвигателей станка, кВт",812
24,Габарит станка,
25,"Габариты станка (длина х ширина х высота), мм",1295 х 1145 х 2755
26,"Масса станка, кг",1520
