index,Наименование параметра,3Е180Е
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,В
2,"Наибольший диаметр обрабатываемой заготовки, мм",10
3,"Наибольший возможный диаметр обрабатываемой заготовки, мм",16
4,"Наименьший диаметр рекомендуемый при обработке напроход, мм",02
5,"Наименьший диаметр рекомендуемый при врезном шлифовании, мм",05
6,"Наибольшая длина обрабатываемых изделий без специальных приспособлений (ограничивается жесткостью и устойчивостью изделий) при сквозном шлифовании, мм",56
7,"Наибольшая длина обрабатываемых изделий с применением специальных приспособлений при сквозном шлифовании, мм",1000
8,"Наибольшая длина обрабатываемых изделий с номинальной высотой кругов при врезном шлифовании, мм",36
9,"Наибольшая длина обрабатываемых изделий с наибольшей высотой кругов при врезном шлифовании, мм",56
10,"Высота от основания станка до оси заготовки, мм",1060
11,"Высота от зеркала мостика до оси кругов (высота центров), мм",
12,Шлифовальный круг,
13,Тип шлифовального круга по ГОСТ 2424-83,ПП
14,"Наружный диаметр наименьший (изношенный)/ наибольший, мм",150..200
15,"Высота (ширина) круга номинальная/ наибольшая, мм",40..63
16,"Диаметр отверстия, мм",76
17,Число оборотов в минуту,5730
18,"Окружная скорость (скорость шлифования), м/сек",60
19,Ведущий круг,
20,Тип шлифовального круга по ГОСТ 2424-83,ПП
21,"Наружный диаметр наименьший/ наибольший, мм",125..150
22,"Наибольшая высота (ширина) наименьшая/ наибольшая, мм",40..63
23,"Диаметр отверстия, мм",51
24,"Скорость вращения при работе, об/мин",5..250
25,"Скорость вращения при правке, об/мин",380
26,Бабка шлифовального круга,
27,"Размер конца шпинделя шлифовального круга по ГОСТ 2323—67, мм","Ø 50 х 62,5"
28,"Наибольшее установочное перемещение при снятых кругах, мм",
29,"Наибольшее ускоренное перемещение при врезном шлифовании, мм",
30,"Рабочее перемещение на одно деление лимба механизма подачи, мм",
31,"Рабочее перемещение на один оборот лимба механизма подачи, мм",
32,"Рабочее перемещение толчковой подачи, мм",
33,"Наибольшее рабочее перемещение механизмом врезания, мм",
34,"Скорость подачи при врезном шлифовании, мм/мин",
35,Бабка ведущего круга,
36,"Перемещение наибольшее при снятых кругах, мм",40
37,"Перемещение на одно деление лимба винта подачи, мм",001
38,"Перемещение на один оборот лимба винта подачи, мм",2
39,"Наибольший угол наклона в вертикальной плоскости, град",
40,"Наибольший угол наклона в горизонтальной плоскости, мин",
41,Число оборотов в минуту при работе (бесступенчатое регулирование),
42,Число оборотов в минуту при правке,
43,"Угол наклона бабки ведущего круга в вертикальной плоскости (макс.), град",
44,Стол,
45,"Рабочее перемещение на одно деление лимба механизма подачи, мм",0001
46,"Рабочее перемещение на один оборот лимба механизма подачи, мм",005
47,"Наибольшее перемещение врезания, мм",1
48,"Наибольшее установочное перемещение, мм",50
49,"Ускоренное перемещение перемещение от электродвигателя, мм/мин",40
50,Механизм правки шлифовального круга,
51,"Наибольшее поперечное перемещение алмаза, мм",55
52,"Поперечное перемещение алмаза на одно деление лимба, мм",001
53,"Поперечное перемещение алмаза на один оборот лимба, мм",1
54,"Наибольшее прдольное перемещение алмаза, мм",90
55,"Скорость перемещения алмаза в продольном направлении наибольшая, мм/мин",35..600
56,"Наибольший угол разворота копира, град",±3°
57,Механизм правки ведущего круга,
58,"Наибольшее поперечное перемещение алмаза, мм",55
59,"Поперечное перемещение алмаза на одно деление лимба, мм",001
60,"Поперечное перемещение алмаза на один оборот лимба, мм",1
61,"Наибольшее прдольное перемещение алмаза, мм",90
62,"Скорость перемещения алмаза в продольном направлении наибольшая, мм/мин",35..600
63,"Наибольший угол разворота копира, град",±3°
64,"Привод, габарит и масса станка",
65,Род тока питающей сети,"Переменный трехфазный, 380 В, частота тока 50 Гц"
66,"Напряжение электроприводов, в",
67,"Напряжение переменное цепей управления, в",~110
68,"Напряжение постоянное цепей управления, в","=12, 24"
69,"Напряжение цепей местного освещения, В",~36
70,"Напряжение сигнализации, В",=24
71,"Количество электродвигателей на станке (без учета двигателей, поставляемых по особому заказу)",7
72,Электродвигатель привода шлифовального круга - тип,4А90LВ4 4/2-ПУ3
73,"Электродвигатель привода шлифовального круга, кВт (об/мин)","2/ 2,5 (1500/ 1800)"
74,Электродвигатель привода ведущего круга - тип,ПЛ-072-С1
75,"Электродвигатель привода ведущего круга, кВт (об/мин)","0,27 (3000)"
76,"Электродвигатель привода установочного перемещения стола, кВт (об/мин)","0,09 (1500)"
77,"Электродвигатель привода насоса смазки подшипников шпинделя шлифовального круга, кВт (об/мин)","0,25 (1500)"
78,"Электродвигатель привода центрифуги, кВт (об/мин)","2,2 (3000)"
79,"Электродвигатель привода насоса гидроагрегата, кВт (об/мин)","0,55 (1500)"
80,"Электродвигатель привода насоса охлаждения, кВт (об/мин)","0,12 (3000)"
81,"Электродвигатель привода магнитного сепаратора, кВт (об/мин)","0,12 (1500)"
82,"Электродвигатель привода загрузки при работе на проход, кВт (об/мин)","0,09 (1500)"
83,"Суммарная мощность электродвигателей, кВт",56
84,Габаритные размеры и масса станка,
85,"Габарит станка (длина X ширина X высота), мм",1570 х 1145 х 1755
86,"Масса станка, кг (с приставным оборудованием)",828 (1200)
