index,Наименование параметра,СФ-676
0,Основные параметры станка,
1,Класс точности по ГОСТ 8-82,Н
2,"Размеры горизонтального (углового) стола, мм",250х800300х800
3,"Размеры вертикального стола, мм",250х630
4,"Максимальная масса обрабатываемой детали, кг",100
5,"Расстояние от оси горизонтального шпинделя до рабочей поверхности горизонтального стола, мм",80..460
6,"Расстояние от оси горизонтального шпинделя до хобота, мм",
7,"Расстояние от торца вертикального шпинделя до рабочей поверхности горизонтального стола, мм",0..350
8,"Наибольший вылет оси вертикального шпинделя, мм",125..375
9,"Наибольший продольный ход стола (X), ручная/механическая подача, мм",450
10,"Наибольший ход шпиндельной бабки (Y), поперечный ход, мм",300
11,"Наибольший вертикальный ход стола (Z), ручная/механическая подача мм",380
12,"Цена деления лимбов, мм",005
13,Горизонтальный и вертикальный шпиндели станка,
14,Конус горизонтального и вертикального шпинделей,40АТ5Морзе 4
15,"Цанга в цанговом патроне позволяет крепить, мм",
16,"Диаметр фрезерной оправки, мм",
17,"Наибольший диаметр фрезы, мм",
18,"Частота вращения горизонтального шпинделя, об/мин (число ступеней)",50..1630 (16)
19,"Частота вращения вертикального шпинделя, об/мин (число ступеней)",63..2040 (16)
20,Количество скоростей шпинделей,16
21,"Наибольшее осевое перемещение вертикального шпинделя, мм",80
22,"Наибольший угол поворота вертикальной головки в вертикальной плоскости, градус",±90°
23,"Пределы подач шпиндельной бабки (поперечная подача Y), мм/мин (число ступеней)",13..395 (16)
24,Количество подач шпиндельной бабки,16
25,"Наибольшее усилие резания, допускаемое/ предельное механизмом подач, Н",5500/ 6000
26,"Допустимое значение осевой составляющей силы резания, действующей на вертикальный шпиндель, не более, Н",1300
27,Стол,
28,"Пределы продольных подач стола (X), мм/мин",13..395 (16)
29,"Пределы вертикальных подач стола (Z), мм/мин",13..395
30,"Ускоренный ход стола в продольном и вертикальном направлениях, мм/мин",935
31,Электрооборудование и привод станка,
32,Напряжение силовой цепи,~ 380 В 50 Гц
33,Напряжение цепи освещения,~ 24 В 50 Гц
34,"Мощность двигателя главного привода, кВт (об/мин)",3 (1500)
35,"Мощность двигателя подачи, кВт (об/мин)",
36,"Мощность двигателя электронасоса СОЖ, кВт (об/мин)","0,12 (2800)"
37,"Суммарная мощность электродвигателей, кВт",312
38,Габарит и масса станка,
39,"Габариты станка (длина х ширина х высота), мм",120012401780
40,"Масса станка, кг",1050
