index,Наименование параметра,2А150
0,Основные параметры станка,
1,"Наибольший диаметр сверления в стали 45, мм",50
2,"Наименьшее и наибольшее расстояние от торца шпинделя до стола, мм",0… 800
3,"Наименьшее и наибольшее расстояние от торца шпинделя до плиты, мм",650… 1200
4,"Расстояние от оси вертикального шпинделя до направляющих стойки (вылет), мм",350
5,Рабочий стол,
6,"Максимальная нагрузка на стол (по центру), кг",
7,"Размеры рабочей поверхности стола, мм",500 х 600
8,Число Т-образных пазов Размеры Т-образных пазов,3
9,"Наибольшее вертикальное перемещение стола (ось Z), мм",325
10,Шпиндель,
11,"Наибольшее перемещение шпиндельной бабки (салазок шпинделя), мм",250
12,"Наибольшее перемещение (ход) шпинделя, мм",300
13,"Частота вращения шпинделя, об/мин (число ступеней)",32… 1400 (12)
14,Количество скоростей шпинделя,12
15,"Наибольший допустимый крутящий момент, Н*м (кгс*м)",800
16,Конус шпинделя,Морзе 5
17,Механика станка,
18,Число ступеней рабочих подач,9
19,"Пределы вертикальных рабочих подач на один оборот шпинделя, мм (число ступеней)","0,12… 2,64 (9)"
20,"Наибольшее усилие подачи, Н (кгс)",25000 (2500)
21,Динамическое торможение шпинделя,Есть
22,Электрооборудование и привод станка,
23,"Электродвигатель привода главного движения, кВт",75
24,Электронасос охлаждающей жидкости Тип,Х14-22М
25,Габариты и масса станка,
26,"Габариты станка (длина х ширина х высота), мм",1550 х 970 х 2865
27,"Масса станка, кг",2250
