index,Наименование параметра,1603
0,Основные параметры станка,
1,Класс точности,П
2,"Наибольший диаметр заготовки над станиной, мм",160
3,"Наибольший диаметр заготовки над суппортом, мм",80
4,"Высота центров, мм",85
5,"Наибольший заготовки в центрах (РМЦ), мм",250
6,"Наибольшая высота держателя резца, мм",
7,"Высота от опорной поверхности резца до линии центров, мм",10
8,"Наибольшее расстояние от оси центров до кромки резцедержателя, мм",
9,"Наибольшие размеры сечения державки резца, мм",
10,Шпиндель,
11,"Диаметр сквозного отверстия в шпинделе, мм",20
12,"Наибольший диаметр прутка в патроне, мм",18
13,"Наибольший диаметр прутка в цанге, мм",12
14,Конус отверстия в шпинделе,Морзе 3
15,Число ступеней частот прямого вращения шпинделя,Б/ступ
16,"Частота прямого вращения шпинделя, об/мин",56..3150
17,Число ступеней частот обратного вращения шпинделя,Б/ступ
18,"Частота обратного вращения шпинделя, об/мин",56..3150
19,Торможение шпинделя,нет
20,Блокировка рукояток,нет
21,Суппорт. Подачи,
22,"Наибольшее продольное перемещение суппорта, мм",250
23,"Перемещение суппорта продольное на одно деление лимба, мм",01
24,"Перемещение суппорта продольное на один оборот лимба, мм",20
25,"Наибольшее поперечное перемещение суппорта, мм",95
26,"Перемещение суппорта поперечное на одно деление лимба, мм",002
27,"Перемещение суппорта поперечное на один оборот лимба, мм",2
28,"Наибольшее перемещение резцовых салазок, мм",60
29,"Перемещение резцовых салазок на одно деление лимба, мм",002
30,"Перемещение резцовых салазок на один оборот лимба, мм",2
31,"Угол поворота резцовых салазок, град",±90°
32,Число ступеней продольных подач суппорта при постоянной настройке гитары,8
33,"Пределы продольных рабочих подач суппорта, мм/об",001..03
34,"Пределы рабочих поперечных подач суппорта, мм/об",нет
35,"Диаметр ходового вала, мм",
36,"Диаметр и шаг ходового винта, мм",
37,Количество нарезаемых резьб метрических,18
38,"Пределы шагов нарезаемых резьб метрических, мм",02..30
39,Пределы шагов нарезаемых резьб дюймовых,40..8
40,Пределы шагов нарезаемых резьб модульных,03..10
41,Пределы шагов нарезаемых резьб питчевых,нет
42,Задняя бабка,
43,"Диаметр пиноли, мм",
44,Конус отверстия пиноли задней бабки,Морзе 2
45,"Наибольшее перемещение пиноли, мм",55
46,"Перемещение пиноли на одно деление линейки, мм",1
47,"Перемещение пиноли на одно деление лимба, мм",004
48,"Поперечное смещение задней бабки, мм",±6
49,Электрооборудование,
50,"Электродвигатель главного привода, кВт (об/мин)","1,1 (1400)"
51,"Электродвигатель насоса СОЖ, кВт",
52,Габариты и масса станка,
53,"Габариты станка (длина ширина высота), мм",1080 х 560 х 1170
54,"Масса станка, кг",500
