index,Наименование параметра,16Т04А
0,Основные параметры станка,
1,Класс точности,А
2,"Наибольший диаметр заготовки над станиной, мм",200
3,"Наибольший диаметр заготовки над суппортом, мм",118
4,"Высота центров, мм",108
5,"Наибольший размер заготовки в центрах (РМЦ), мм",350
6,"Высота от опорной поверхности резца до линии центров, мм",12
7,"Наибольшее расстояние от оси центров до кромки резцедержателя, мм",
8,"Наибольшие размеры сечения державки резца, мм",12 х 12
9,Шпиндель,
10,"Диаметр сквозного отверстия в шпинделе, мм",202
11,"Наибольший диаметр прутка в патроне, мм",18
12,"Наибольший диаметр прутка в цанге, мм",14
13,Конус отверстия в шпинделе,Морзе 3
14,Число ступеней частот прямого вращения шпинделя,Б/ступ
15,"Частота вращения шпинделя, об/мин",70..3500
16,Торможение шпинделя,нет
17,Суппорт. Подачи,
18,"Наибольшее продольное перемещение суппорта, мм",250
19,"Перемещение суппорта продольное на одно деление лимба, мм",01
20,"Перемещение суппорта продольное на один оборот лимба, мм",-
21,"Наибольшее поперечное перемещение суппорта, мм",135
22,"Перемещение суппорта поперечное на одно деление лимба, мм",002
23,"Перемещение суппорта поперечное на один оборот лимба, мм",2
24,Резцовые салазки,
25,"Наибольшее перемещение резцовых салазок, мм",120
26,"Перемещение резцовых салазок на одно деление лимба, мм",002
27,"Перемещение резцовых салазок на один оборот лимба, мм",2
28,"Угол поворота резцовых салазок, град",±45°
29,Задняя бабка,
30,"Диаметр пиноли, мм",35
31,Конус отверстия пиноли задней бабки,Морзе 2
32,"Наибольшее перемещение пиноли, мм",70
33,"Перемещение пиноли на одно деление линейки, мм",1
34,Электрооборудование,
35,"Электродвигатель главного привода, кВт (об/мин)","0,8 (1500)"
36,"Электродвигатель насоса СОЖ, кВт",0125
37,Габариты и масса станка,
38,"Габариты станка (длина ширина высота), мм",1380 х 730 х 1215
39,"Масса станка, кг",640
