index,Наименование параметра,16К20Ф3С32
0,Основные параметры станка,
1,Обозначение системы ЧПУ,2Р22
2,"Наибольший диаметр обрабатываемого изделия над станиной, мм",400
3,"Наибольший диаметр обрабатываемого изделия над суппортом, мм",220
4,"Наибольший диаметр устанавливаемого изделия над станиной, мм",500
5,"Диаметр отверстия в шпинделе, мм",53
6,"Наибольшая длина изделия устанавливаемого в центрах (РМЦ), мм",1000
7,"Наибольшая длина обрабатываемого изделия при числе позиций инструментальной головки (6, 8, 12), мм",870
8,Шпиндель,
9,"Мощность двигателя главного движения, кВт",11
10,Количество рабочих скоростей шпинделя,22
11,"Пределы чисел оборотов шпинделя, об/мин",125...2000
12,"Диапазон скоростей шпинделя, устанавливаемый вручную, об/мин",Ряд I - 12.5..200Ряд II - 50..800Ряд III - 125..2000
13,Количество автоматически переключаемых скоростей,9
14,Диапазон автоматического переключения,16
15,Центр шпинделя передней бабки по ГОСТ 13214-67,Морзе №6
16,Центр пиноли задней бабки по ГОСТ 13214-67,Морзе №5
17,Конец шпинделя по ГОСТ 12593-72,6К
18,"Наибольший крутящий момент на шпинделе не менее, Нм (кгс*м)",
19,Подачи,
20,"Наибольшее перемещение суппорта: продольное (Z) / поперечное (X), мм",900/ 250
21,"Пределы шагов нарезаемых резьб, мм",01..39999
22,"Диапазон скоростей продольных подач, мм/мин (мм/об)",3..2000
23,"Диапазон скоростей поперечных подач, мм/мин (мм/об)",3..2000
24,"Скорость быстрых продольных/ поперечных ходов, м/мин","7,0/ 4,0"
25,"Высота резца, мм",25
26,Количество позиций на поворотной резцедержке (число инструментов в револьверной головке),6
27,Параметры системы ЧПУ,
28,Обозначение системы ЧПУ,2Р22
29,Число координат,2
30,Количество одновременно управляемых координат,2
31,"Дискретность задания координат в продольном/ поперечном направлении (дискретность задания по оси Z, X)",0001
32,"Пределы программируемых подач продольных/ поперечных, мм/об","0,01...20/ 0,01..10"
33,Тип датчика обратной связи по положению и резьбонарезанию,РОД-620
34,Электрооборудование станка,
35,"Электродвигатель главного привода, кВт/ об/мин",11/ 1460
36,"Электродвигатель продольных подач - номинальный крутящий момент, Нм (кгс*м)",
37,"Электродвигатель поперечных подач - номинальный крутящий момент, Нм (кгс*м)",
38,"Электродвигатель станции смазки каретки, кВт/ об/мин",
39,"Электродвигатель станции смазки шпиндельной бабки, кВт/ об/мин",
40,"Электродвигатель насоса охлаждения, кВт/ об/мин",
41,"Электродвигатель инструментальной головки, кВт/ об/мин",
42,"Суммарная мощность электродвигателей, кВт",20
43,"Суммарная мощность станка, кВт",22
44,Габариты и масса станка,
45,"Габаритные размеры станка с ЧПУ (длина, ширина, высота), мм",370017002145
46,"Масса станка с ЧПУ, кг",4050
