index,Наименование параметра,5Б310П
0,Основные параметры станка,
1,"Наибольший модуль нарезаемого колеса (с дополнительным сменным суппортом), мм","1,5 (2,5)"
2,"Наибольший диаметр нарезаемых цилиндрических прямозубых колес (0°) с задней стойкой (с контрподдержкой), мм",200
3,"Наибольший диаметр нарезаемых цилиндрических прямозубых колес (0°) с отведенной задней стойкой (без контрподдержки), мм",
4,"Наибольший диаметр нарезаемых цилиндрических косозубых колес (30°), мм",
5,"Наибольший диаметр нарезаемых цилиндрических косозубых колес (45°), мм",
6,"Наибольший угол наклона нарезаемых зубъев обрабатываемых колес, град",
7,"Наибольший диаметр червячных нарезаемых колес, мм",
8,"Наибольшая длина венца нарезаемых цилиндрических прямозубых колес (0°), мм",140
9,"Наибольшая длина венца нарезаемых цилиндрических косозубых колес (30°), мм",
10,"Наибольшая длина венца нарезаемых цилиндрических косозубых колес (45°), мм",
11,"Число нарезаемых зубьев (исполнение 01, исполнение 02)","6..250 (16..500, 3..125)"
12,"Расстояние от оси шпинделя до направляющих суппорта, мм",
13,Стол,
14,"Диаметр стола, мм",
15,"Расстояние между осями стола и фрезы, мм",
16,"Расстояние от плоскости стола до оси фрезы, мм",
17,"Ускоренное перемещение стола, мм/мин",
18,"Ручное перемещение стола на одно деление лимба, мм",
19,"Перемещение упора остановки стола на одно деление лимба, мм",
20,Суппорт,
21,"Наибольшее перемещение фрезерного суппорта, мм",
22,"Ускоренное перемещение суппорта, мм/мин",
23,"Наибольший диаметр режущего инструмента (червячной фрезы), мм",
24,"Наибольшая длина режущего инструмента (червячной фрезы), мм",
25,"Диаметры фрезерных оправок, мм",
26,"Ускоренное перемещение шпинделя вдоль оси, мм/мин",
27,"Поворот суппорта на одно деление шкалы линейки, град",
28,"Поворот суппорта на одно деление шкалы нониуса, мин",
29,Конусное отверстие шпинделя,
30,"Наибольшее осевое перемещение фрезы, мм",
31,"Наибольшая величина вертикального перемещения суппорта при угле наклона 0°, мм",
32,"Наибольшая величина вертикального перемещения суппорта при угле наклона 30°, мм",
33,"Наибольшая величина вертикального перемещения суппорта при угле наклона 45°, мм",
34,"Наибольшая величина вертикального перемещения суппорта при угле наклона 60°, мм",
35,Механика станка,
36,"Пределы оборотов фрезы, об/мин",
37,Число ступеней оборотов фрезы,
38,"Пределы продольных (вертикальных) подач, мм/об",
39,"Пределы радиальных подач, мм/об",
40,"Пределы тангенциальных подач, мм/об",
41,Число ступеней продольных (вертикальных) подач,
42,Число ступеней радиальных подач,
43,Привод и электрооборудование станка,
44,Количество электродвигателей на станке,
45,"Электродвигатель главного привода, кВт",
46,"Электродвигатель ускоренного хода, кВт",
47,"Электродвигатель привода шагового движения, кВт",
48,"Электродвигатель привода гидронасоса, кВт",
49,"Электродвигатель насоса охлаждения, кВт",
50,"Суммарная мощность электродвигателей, кВт",
51,Габаритные размеры и масса станка,
52,"Габаритные размеры станка (длина х ширина х высота), мм",
53,"Масса станка с электрооборудованием и охлаждением, кг",
