index,Наименование параметра,С11МТ
0,Основные параметры станка,
1,Класс точности по ГОСТ 8-82,Н
2,"Наибольший диаметр заготовки устанавливаемой над станиной, мм",515
3,"Высота оси центров над плоскими направляющими станины, мм",250
4,"Наибольший диаметр заготовки обрабатываемой над суппортом, мм",310
5,"Наибольшая длина заготовки, устанавливаемой в центрах (РМЦ), мм","1000, 1500, 2000"
6,"Ширина направляющих, мм",360
7,"Наибольшее расстояние от оси центров до кромки резцедержателя, мм",212
8,"Наибольший диаметр сверла при сверлении стальных деталей, мм",
9,"Наибольшая масса заготовки, обрабатываемой в центрах, кг",
10,"Наибольшая масса заготовки, обрабатываемой в патроне, кг",
11,Шпиндель,
12,"Диаметр отверстия в шпинделе, мм",62
13,"Наибольший диаметр прутка, проходящий через отверстие в шпинделе, мм",60
14,"Частота вращения шпинделя в прямом направлении, об/мин","16..60, 125..710, 355..2000"
15,"Частота вращения шпинделя в обратном направлении, об/мин","16..76, 150..600, 425..1700"
16,Количество прямых скоростей шпинделя,15
17,Количество обратных скоростей шпинделя,8
18,Конец шпинделя по ГОСТ 12593-72,
19,Конец шпинделя по ISO702-II/USAS B5.9D1 ISO702-III/DIN 55027,8
20,Коническое отверстие шпинделя по ГОСТ 2847-67,80
21,"Диаметр фланца шпинделя, мм",100
22,"Диаметр патрона, мм",
23,"Наибольший крутящий момент на шпинделе, Нм",1000
24,Суппорт. Подачи,
25,"Наибольшая длина продольного перемещения, мм",
26,"Наибольшая длина поперечного перемещения, мм",246
27,"Скорость быстрых продольных перемещений, мм/мин",3920
28,"Скорость быстрых поперечных перемещений, мм/мин",1960
29,"Максимально допустимая скорость перемещений при работе по упорам, мм/мин",
30,"Минимально допустимая скорость перемещения каретки (суппорта), мм/мин",
31,"Цена деления лимба продольного перемещения, мм",
32,"Цена деления лимба поперечного перемещения, мм",
33,"Диапазон продольных подач, мм/об",007..223
34,"Диапазон поперечных подач, мм/об",003..111
35,Количество подач продольных,96
36,Количество подач поперечных,48
37,Количество нарезаемых резьб - метрических,
38,Количество нарезаемых резьб - модульных,
39,Количество нарезаемых резьб - дюймовых,
40,Количество нарезаемых резьб - питчевых,
41,"Пределы шагов метрических резьб, мм",05..120
42,"Пределы шагов дюймовых резьб, ниток/дюйм",60..1/4
43,"Пределы шагов модульных резьб, модуль",0125..30
44,"Пределы шагов питчевых резьб, питч диаметральный",240..1
45,"Наибольшее усилие, допускаемое механизмом подач на резце - продольное, Н",
46,"Наибольшее усилие, допускаемое механизмом подач на резце - поперечное, Н",
47,Резцовые салазки,
48,"Наибольшее перемещение резцовых салазок, мм",135
49,"Перемещение резцовых салазок на одно деление лимба, мм",
50,"Наибольший угол поворота резцовых салазок, град",±90°
51,"Цена деления шкалы поворота резцовых салазок, град",1°
52,"Наибольшее сечение державки резца, мм",25 х 25
53,"Высота от опорной поверхности резца до оси центров (высота резца), мм",25
54,Число резцов в резцовой головке,4
55,Задняя бабка,
56,"Диаметр пиноли задней бабки, мм",70
57,Конус отверстия в пиноли задней бабки по ГОСТ 2847-67,Морзе 5
58,"Наибольшее перемещение пиноли, мм",190
59,"Перемещение пиноли на одно деление лимба, мм",
60,"Величина поперечного смещения корпуса бабки, мм",±10
61,Электрооборудование,
62,"Электродвигатель главного привода, кВт","5,5; 7,5"
63,"Электродвигатель привода быстрых перемещений, кВт",055
64,"Электродвигатель насоса СОЖ, кВт",018
65,Габариты и масса станка,
66,"Габариты станка (длина ширина высота) РМЦ=1000, мм",2490 х 1220 х 1270
67,"Масса станка, кг",1750
