index,Наименование параметра,16Б16
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,"Н, П"
2,"Наибольший диаметр заготовки, обрабатываемой над станиной, мм",320
3,"Наибольший диаметр заготовки, обрабатываемой над суппортом, мм",180
4,"Наибольшая длина заготовки, обрабатываемой в центрах (РМЦ), мм",5007501000
5,"Наибольшая длина обтачивания, мм",960
6,"Высота от опорной поверхности резца до линии центров, мм",25
7,"Наибольшее расстояние от оси центров до кромки резцедержателя, мм",185
8,"Высота оси центров над плоскими направляющими станины (высота центров), мм",175
9,"Наибольшая масса заготовки, обрабатываемой в патроне, кг",
10,"Наибольшая масса заготовки, обрабатываемой в центрах, кг",
11,Шпиндель,
12,"Диаметр сквозного отверстия в шпинделе, мм",45
13,"Наибольший диаметр прутка, проходящий через отверстие в шпинделе, мм",44
14,"Частота прямого вращения шпинделя, об/мин",25..2500
15,Число ступеней частот прямого вращения шпинделя,21
16,"Частота обратного вращения шпинделя, об/мин",25...1250
17,Число ступеней частот обратного вращения шпинделя,18
18,"Размер внутреннего конуса в шпинделе, М",Морзе 6
19,Конец шпинделя по ГОСТ 12593-72,6К
20,Торможение шпинделя,есть
21,Блокировка рукояток,есть
22,"Точность, тип и размер подшипника в передней опоре",4-697716Л 80х140-85
23,Суппорт. Подачи,
24,"Наибольшее перемещение продольной каретки суппорта от руки, по валику, по винту, мм","500, 750"
25,"Наибольшее перемещение поперечной каретки суппорта от руки, по винту, мм",220
26,"Цена деления лимба продольного перемещения суппорта, мм",1
27,"Цена деления лимба поперечного перемещения суппорта, мм",0025
28,"Продольное перемещение на один оборот лимба, мм",100
29,"Поперечное перемещение на один оборот лимба, мм",5
30,Число ступеней продольных подач,
31,"Пределы продольных рабочих подач, мм/об",005..28
32,"Пределы поперечных рабочих подач, мм/об",0025..14
33,"Скорость быстрых перемещений суппорта, продольных, м/мин",4
34,"Скорость быстрых перемещений суппорта, поперечных, м/мин",2
35,Количество нарезаемых резьб метрических,
36,"Пределы шагов нарезаемых резьб метрических, мм",025...56
37,Количество нарезаемых резьб дюймовых,
38,Пределы шагов нарезаемых резьб дюймовых,112..05
39,Количество нарезаемых резьб модульных,
40,Пределы шагов нарезаемых резьб модульных,025..56
41,Количество нарезаемых резьб питчевых,
42,Пределы шагов нарезаемых резьб питчевых,112...05
43,Резцовые салазки,
44,"Наибольшее перемещение резцовых салазок, мм",120
45,"Перемещение резцовых салазок на одно деление лимба, мм",002
46,"Перемещение резцовых салазок на один оборот лимба, мм",2
47,"Наибольший угол поворота резцовых салазок, град",±90°
48,"Цена деления шкалы поворота резцовых салазок, град",1°
49,"Наибольшее сечение державки резца, мм",20 х 25
50,"Высота от опорной поверхности резца до оси центров (высота резца), мм",25
51,Число резцов в резцовой головке,4
52,Задняя бабка,
53,"Диаметр пиноли задней бабки, мм",
54,Конус отверстия в пиноли задней бабки по ГОСТ 2847-67,Морзе 5
55,"Наибольшее перемещение пиноли, мм",120
56,"Перемещение пиноли на одно деление лимба, мм",005
57,"Величина поперечного смещения корпуса бабки, мм",±5
58,Электрооборудование,
59,Количество электродвигателей на станке,4
60,"Привод главного движения, кВт","4,2; 7,5"
61,Тип электродвигателя главного привода,4А132М8/4У3
62,"Привод ускоренных перемещений, кВт",037
63,"Привод маслонасоса в станции смазки С48-14М, кВт",012
64,"Привод насоса охлаждения, кВт",0125
65,Насос охлаждения (помпа),ПА-22
66,Габариты и масса станка,
67,"Габариты станка (длина ширина высота), мм",2025 х 1110 х 2270
68,"Масса станка, кг",1900
