index,Наименование параметра,3А164
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,П
2,"Наибольший диаметр обрабатываемого изделия, мм",400
3,"Наибольшая длина обрабатываемого изделия, мм",2000
4,"Наибольший диаметр шлифования в люнете/ без люнета, мм",120/ 360
5,"Наименьший диаметр шлифования при изношенном круге, мм",
6,"Расстояние от оси шпинделя передней бабки до зеркала стола (высота центров), мм",210
7,"Наибольшая масса обрабатываемого изделия, кг",1000
8,Конус шпинделя передней бабки и пиноли задней бабки по ГОСТ 2847-67,Морзе 6
9,"Конец шлифовального шпинделя по ГОСТ 2323-67 (конусность 1:5, номинальный диаметр), мм",100
10,"Диаметр передней опорной шейки шлифовального шпинделя, мм",
11,Рабочий стол станка,
12,"Наибольшая длина перемещения стола, мм",1800
13,"Ручное перемещения стола за один оборот маховика, мм","3,7; 14,5"
14,"Скорость перемещения стола от гидросистемы, м/мин",01..40
15,"Наибольший угол поворота верхнего стола по часовой стрелке, град",2
16,"Наибольший угол поворота верхнего стола против часовой стрелки, град",4
17,"Цена деления шкалы поворота верхнего стола, град",015
18,"Наименьший ход стола от гидросистемы (при сведенных упорах), мм 8",8
19,Шлифовальная бабка,
20,"Диаметр шлифовального круга - наибольший/ наименьший/ посадочный, мм",Пп 750х80х305
21,"Диаметр шлифуемого изделия при диаметре круга 500мм, мм",
22,"Диаметр шлифуемого изделия при диаметре круга 600мм, мм",
23,"Диаметр шлифуемого изделия при диаметре круга 700мм, мм",
24,"Диаметр шлифуемого изделия при диаметре круга 750мм, мм",
25,"Наибольшая высота устанавливаемого круга, мм",
26,"Частота вращения шпинделя шлифовальной бабки, об/мин",890
27,"Скорость резания шлифовального круга, м/с",35
28,Механизм поперечных подач,
29,"Наибольшее перемещение шлифовальной бабки по винту, мм",235
30,"Величина быстрого подвода шлифовальной бабки, мм",100
31,"Время быстрого подвода шлифовальной бабки, с",3
32,"Периодическая подача шлифовальной бабки при реверсе стола (бесступенчатое регулирование), мм",00025..003
33,"Пределы скоростей врезных подач, мм/мин",
34,"Толчковая подача, мм",
35,"Цена деления лимба поперечного перемещения шлифовальной бабки, мм",0005
36,"Величина поперечного перемещения шлифовальной бабки за один оборот маховика, мм","±2,5"
37,Передняя бабка,
38,"Частота вращения изделия (бесступенчатое регулирование), об/мин","30, 40, 60, 90, 120, 160"
39,Конус центра по ГОСТ 13214-67,Морзе 6
40,Задняя бабка,
41,"Величина отвода пиноли задней бабки, мм",65
42,Конус центра по ГОСТ 13214-67,Морзе 6
43,Привод и электрооборудование станка,
44,Количество электродвигателей на станке,7
45,"Электродвигатель шпинделя шлифовальной бабки, кВт",
46,"Электродвигатель привода изделия, кВт",
47,"Электродвигатель насоса гидросистемы, кВт",
48,"Электродвигатель насоса системы смазки подшипников шпинделя, кВт",
49,"Электродвигатель насоса системы смазки направляющих стола, кВт",
50,"Электродвигатель насоса системы охлаждения, кВт",
51,"Электродвигатель привода пиноли задней бабки, кВт",
52,"Электродвигатель магнитного сепаратора, кВт",
53,"Общая мощность электродвигателей, кВт",
54,Габаритные размеры и масса станка,
55,"Габаритные размеры станка (длина х ширина х высота), мм",6000 х 2550 х 1585
56,"Масса станка с электрооборудованием и охлаждением, кг",10000
