index,Наименование параметра,2Г103П
0,Основные параметры станка,
1,"Наибольший условный диаметр сверления, мм",3
2,Наименьшее и наибольшее расстояние от торца шпинделя до стола,45..160
3,"Расстояние от оси вертикального шпинделя до направляющих стойки (вылет), мм",110
4,Рабочий стол,
5,"Размеры рабочей поверхности стола, мм",140 х 140
6,Число Т-образных пазов Размеры Т-образных пазов,1
7,Шпиндель,
8,"Наибольшее перемещение шпиндельной головки по колонне, мм",
9,"Ход гильзы шпинделя, мм",40
10,"Частота вращения шпинделя, об/мин",2500..16000
11,Количество скоростей шпинделя,5
12,Конус шпинделя,29° под цангу
13,Привод,
14,"Электродвигатель привода, кВт (об/мин)","0,18 (2800)"
15,Габарит и масса станка,
16,"Габариты станка (длина ширина высота), мм",450 х 225 х 480
17,"Масса станка, кг",50
