index,Наименование параметра,3М152Ф2
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,П
2,"Наибольший диаметр обрабатываемого изделия, мм",200
3,"Наибольшая длина обрабатываемого изделия, мм",700
4,"Диаметр шлифования, мм",
5,"Диаметр шлифования с прибором активного контроля, мм",20..85
6,"Диаметр шлифования по датчику, мм",20..180
7,"Наибольшая длина шлифования (наибольшее продольное перемещение стола), мм",700
8,"Расстояние от оси шпинделя передней бабки до зеркала стола (высота центров), мм",125
9,"Наибольшая масса обрабатываемого изделия, кг",
10,Наибольшее количество шлифуемых по программе ступеней на заготовке за одну установку,8
11,Конус шпинделя передней бабки и пиноли задней бабки по ГОСТ 2847-67,
12,"Конец шлифовального шпинделя по ГОСТ 2323-67 (конусность 1:5, номинальный диаметр), мм",
13,"Диаметр передней опорной шейки шлифовального шпинделя, мм",
14,"Расстояние от подошвы станка до оси изделия, мм",
15,Рабочий стол станка,
16,"Наибольшая длина перемещения стола, мм",700
17,"Ручное ускоренное перемещения стола за один оборот маховика, мм",
18,"Ручное замедленное перемещения стола за один оборот маховика, мм",53
19,"Наименьший ход стола от гидросистемы, мм",
20,"Скорость перемещения стола от гидросистемы, м/мин",005..50
21,"Наибольший угол поворота верхнего стола по часовой стрелке, град",
22,"Наибольший угол поворота верхнего стола против часовой стрелки, град",
23,"Цена деления шкалы поворота верхнего стола, град",
24,"Конусность, мм/м",
25,Шлифовальная бабка,
26,Шлифовальный круг по ГОСТ 2424-67,600 х 80 х 305
27,"Наибольшая высота устанавливаемого круга, мм",
28,"Частота вращения шпинделя шлифовальной бабки, об/мин",1590
29,"Скорость резания шлифовального круга, м/с",50
30,"Наибольшее перемещение шлифовальной бабки по винту, мм",235
31,"Величина быстрого подвода шлифовальной бабки, мм",
32,"Время быстрого подвода шлифовальной бабки, с",
33,"Скорость быстрого подвода шлифовальной бабки, мм/мин",930..1700
34,"Наибольшая периодическая подача шлифовальной бабки (бесступенчатое регулирование), мм",
35,"Наименьшая периодическая подача шлифовальной бабки (бесступенчатое регулирование), мм",
36,"Величина перемещения шлифовальной бабки при шлифовании, мм",
37,"Пределы скоростей врезных подач, мм/мин",
38,"Толчковая подача, мм",
39,"Величина поперечного перемещения шлифовальной бабки за один оборот маховика, мм",
40,"Рабочие подачи шлифовальной бабки для предварительной обработки, мм/мин",02..012
41,"Рабочие подачи шлифовальной бабки для окончательной обработки, мм/мин",01..06
42,"Рабочие подачи шлифовальной бабки доводочные, мм/мин",002..012
43,Передняя бабка,
44,"Частота вращения изделия (бесступенчатое регулирование), об/мин",50..500
45,Задняя бабка,
46,"Величина отвода пиноли задней бабки от руки, мм",35
47,"Величина отвода пиноли задней бабки от гидросистемы, мм",35
48,"Наибольшее перемещение центра задней бабки в горизонтальной плоскости от механизма поворота пиноли, мм",01
49,Система ЧПУ,
50,Система программного управления,"Ф2, позиционная, аналоговая, абсолютная"
51,Программоноситель,декадные переключ
52,Число программируемых осей координат (включая прибор активного контроля размеров),3
53,Число одновременно управляемых осей координат,3
54,"Дискретность задания перемещений по оси X (шлифовальная бабка), мм",0001
55,"Дискретность задания перемещений по оси Z (перемещение стола), мм",01
56,"Число программируемых ступеней шлифуемого вала, мм",8
57,Привод и электрооборудование станка,
58,Количество электродвигателей на станке,
59,"Электродвигатель шпинделя шлифовальной бабки, кВт/ об/мин",
60,"Электродвигатель привода изделия, кВт/ об/мин",
61,"Электродвигатель насоса гидросистемы, кВт/ об/мин",
62,"Электродвигатель насоса системы смазки, кВт/ об/мин",
63,"Электродвигатель насоса системы смазки направляющих стола, кВт/ об/мин",
64,"Электродвигатель насоса системы охлаждения, кВт/ об/мин",
65,"Электродвигатель магнитного сепаратора, кВт/ об/мин",
66,"Электродвигатель вентилятора гидроагрегата, кВт/ об/мин",
67,"Электродвигатель фильтра-транспортера, кВт/ об/мин",
68,Габаритные размеры и масса станка,
69,"Габаритные размеры станка (длина х ширина х высота), мм",5400 х 2400 х 2170
70,"Масса станка с электрооборудованием и охлаждением, кг",6500
