index,Наименование параметра,6Т12
0,Основные параметры станка,
1,Класс точности по ГОСТ 8-71 и ГОСТ 8-82,Н
2,"Размеры поверхности стола, мм",1250 х 320
3,"Наибольшая масса обрабатываемой детали, кг",400
4,"Расстояние от торца шпинделя до стола, мм",30..450
5,"Расстояние от оси шпинделя до вертикальных направляющих станины (вылет), мм",380
6,Рабочий стол,
7,"Наибольший продольный ход стола от руки (по оси X), мм",800
8,"Наибольший поперечный ход стола от руки (по оси Y), мм",320
9,"Наибольший вертикальный ход стола от руки (по оси Z), мм",420
10,"Перемещение стола на одно деление лимба в продольном и поперечном направлении, мм",
11,"Перемещение стола на одно деление лимба в вертикальном направлении, мм",
12,"Перемещение стола на один оборот лимба в продольном и поперечном направлении, мм",
13,"Перемещение стола на один оборот лимба в вертикальном направлении, мм",
14,"Пределы продольных подач стола (X), мм/мин",125..1600
15,"Пределы поперечных подач стола (Y), мм/мин",125..1600
16,"Пределы вертикальных подач стола (Z), мм/мин",41..530
17,Количество подач продольных/ поперечных/ вертикальных,22
18,"Скорость быстрых продольных перемещений стола (по оси X), м/мин",4
19,"Скорость быстрых поперечных перемещений стола (по оси Y), м/мин",4
20,"Скорость быстрых вертикальных перемещений стола (по оси Z), м/мин",1330
21,"Замедленная подача, мм/мин",-
22,Шпиндель,
23,"Частота вращения шпинделя, об/мин",315..1600
24,Количество скоростей шпинделя,18
25,"Перемещение пиноли шпинделя, мм",70
26,Конус фрезерного шпинделя,№3
27,"Конец шпинделя ГОСТ 24644-81, ряд 4, исполнение 6",50
28,"Отверстие фрезерного шпинделя, мм",
29,"Поворот шпиндельной головки вправо и влево, град",±45°
30,Механика станка,
31,"Выключающие упоры подачи (продольной, поперечной, вертикальной)",Есть
32,"Блокировка ручной и механической подач (продольной, поперечной, вертикальной)",Есть
33,Блокировка раздельного включения подач,Есть
34,Торможение шпинделя,Есть
35,Предохранительная муфта от перегрузок,Есть
36,Автоматическая прерывистая подача,Есть
37,"Электрооборудование, привод",
38,Количество электродвигателей на станке,4
39,"Электродвигатель привода главного движения, кВт (об/мин)",75
40,"Электродвигатель привода подач, кВт (об/мин)",30
41,"Электродвигатель зажима инструмента, кВт (об/мин)",025
42,"Электродвигатель насоса механизма опускания и подъема консоли, кВт (об/мин)",-
43,"Электродвигатель насоса механизма выбора люфта, кВт (об/мин)",-
44,"Электродвигатель насоса охлаждающей жидкости, кВт (об/мин)",012
45,"Суммарная мощность всех электродвигателей, кВт",187
46,Габарит и масса станка,
47,"Габариты станка (длина ширина высота), мм",2280 х 1965 х 2265
48,"Масса станка, кг",3250
