index,Наименование параметра,65А60Ф1
0,Основные параметры станка,
1,"Размеры поверхности стола, мм",630 х 2000
2,"Расстояние от торца шпинделя до поверхности стола, мм",125..900
3,"Расстояние от оси шпинделя до вертикальных направляющих (вылет), мм",710
4,"Наибольшее перемещение стола в продольном (X) х поперечном (Y) направлении, мм",1600 х 630
5,"Наибольшее перемещение шпиндельной бабки в вертикальном (Z) направлении, мм",775
6,"Наибольшая масса обрабатываемой детали, кг",4000
7,Шпиндель,
8,Конец шпинделя по ГОСТ 24644-81,50
9,"Частота вращения шпинделя с бесступенчатым регулированием, об/мин",5..2000
10,Количество скоростей шпинделя,85
11,"Наибольший крутящий момент на шпинделе, н*м",2750
12,Рабочий стол,
13,"Дискретность задания перемещений по осям X, Y, Z. Продольное, поперечное, вертикальное, мм",0010
14,"Пределы продольных и поперечных подач стола (X, Y), мм/мин",1..6000
15,"Пределы вертикальных подач бабки (Z), мм/мин",1..6000
16,Количество подач продольных/ поперечных/ вертикальных,58
17,"Скорость быстрых перемещений стола продольных (X), поперечных (Y), м/мин",96
18,"Скорость быстрых перемещений вертикальных (Z), м/мин",96
19,"Наибольшее усилие резания, допускаемое механизмом подачи по оси X (продольных), кН",20
20,"Наибольшее усилие резания, допускаемое механизмом подачи по осяи Y, (поперечных), кН",19
21,"Наибольшее усилие резания, допускаемое механизмом подачи по оси Z (вертикальных), кН",20
22,Механика станка,
23,"Наибольший допускаемый диаметр фрез при черновой обработке, мм",
24,"Выключающие упоры подачи (продольной, поперечной, вертикальной)",есть
25,Электрооборудование и привод станка,
26,Количество электродвигателей на станке,
27,"Электродвигатель постоянного тока привода главного движения, кВт",265
28,"Вращающий момент электродвигателей постоянного тока приводов подач по осям X, Y, Z (номинальный/ наибольший) (М12, М13, М14), Н*м",47/ 52
29,"Электродвигатель гидростанции (М1), кВт",15
30,"Электродвигатель вентилятора шпинделя (М3), кВт",055
31,"Электродвигатель зажима инструмента (М4), кВт",018
32,"Электродвигатель насоса смазки (М5), кВт",025
33,"Электродвигатель насоса охлаждения (М6), кВт",012
34,"Электродвигатель транспортера (М7), кВт",037
35,"Электродвигатель вентилятора шкафа (М20, М21), кВт",012
36,"Суммарная мощность установленных на станке электродвигателей, кВт",3666
37,"Суммарная мощность одновременно работающих электродвигателей, кВт",2926
38,Габаритные размеры и масса станка,
39,"Габаритные размеры (длина х ширина х высота), мм",6185 х 3825 х 4100
40,"Масса станка, кг",16130
