index,Наименование параметра,6Р81
0,Основные параметры станка,
1,Класс точности по ГОСТ 8-71 и ГОСТ 8-82,Н
2,"Размеры рабочей поверхности стола (длина х ширина), мм",1000 х 250
3,Наименьшее и наибольшее расстояние от торца шпинделя до стола,-
4,Наименьшее и наибольшее расстояние от оси шпинделя до стола,50..370
5,"Расстояние от оси шпинделя до хобота, мм",142
6,"Расстояние от оси вертикального шпинделя до направляющих стойки, мм",-
7,Рабочий стол,
8,"Максимальная нагрузка на стол (по центру), кг",
9,Число Т-образных пазов Размеры Т-образных пазов,3
10,"Наибольшее перемещение стола продольное (ось X), мм",630
11,"Наибольшее перемещение стола поперечное (ось Y), мм",200
12,"Наибольшее перемещение стола вертикальное (ось Z), мм",320
13,"Наибольший угол поворота стола, град",±45
14,"Цена одного деления шкалы поворота стола, град",1
15,"Перемещение стола на одно деление лимба (продольное, поперечное), мм",005
16,"Перемещение стола на одно деление лимба (вертикальное), мм",0025
17,"Перемещение стола на один оборот лимба продольное и поперечное, мм",6
18,"Перемещение стола на один оборот лимба вертикальное, мм",3
19,Шпиндель,
20,"Частота вращения шпинделя, об/мин",315..1600
21,Количество скоростей шпинделя,18
22,Эскиз конца шпинделя,45 ГОСТ 836-72
23,Конус шпинделя,45
24,Конус поворотного шпинделя,-
25,Механика станка,
26,"Быстрый ход стола продольный и поперечный, мм/мин",3150
27,"Быстрый ход стола вертикальный, мм/мин",1050
28,Число ступеней рабочих подач стола,16
29,"Пределы рабочих подач. Продольных и поперечных, мм/мин",25..800
30,"Пределы рабочих подач. Вертикальных, мм/мин",83..2667
31,"Выключающие упоры подачи (продольной, поперечной, вертикальной)",есть
32,Блокировка ручной и механической подачи (продольной),нет
33,"Блокировка ручной и механической подачи (поперечной, вертикальной)",есть
34,Торможение шпинделя (муфта),есть
35,Предохранение от перегрузки (шариковая пара),есть
36,Привод,
37,"Электродвигатель привода главного движения, кВт",55
38,"Электродвигатель привода подач, кВт",15
39,Электронасос охлаждающей жидкости Тип,Х14-22М
40,"Электронасос охлаждающей жидкости, кВт",012
41,"Производительность насоса СОЖ, л/мин",22
42,Габарит и масса станка,
43,"Габариты станка (длина ширина высота), мм",1480 х 1990 х 1630
44,"Масса станка, кг",2280
