index,Наименование параметра,16К40Ф101
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,
2,"Наибольший диаметр заготовки над станиной, мм",800
3,"Наибольший диаметр заготовки над суппортом, мм",490
4,"Наибольшая длина заготовки (РМЦ), мм",3000
5,"Наибольшая масса заготовки в центрах, кг",3500
6,Тип УЦИ,Ф5290
7,"Дискретность отсчета заданных перемещений, мкм",10
8,Шпидель,
9,"Диаметр сквозного отверстия в шпинделе, мм",105
10,"Наибольший момент на шпинделе, кН/м",3
11,"Наибольшее усилие резания Pz, кН",20
12,Число ступеней частот прямого вращения шпинделя,22
13,"Частота прямого вращения шпинделя, об/мин",10..1250
14,Центр в шпинделе бабки передней по ГОСТ 13214-79,Конус морзе 6
15,"Размер внутреннего конуса в шпинделе, М",метр.115/ метр.100
16,Конец шпинделя по ГОСТ 12595-72,11М
17,Суппорт. Подачи,
18,"Наибольшее продольное перемещение суппорта - длина хода, мм",2850
19,"Наибольшее поперечное перемещение суппорта, мм",445
20,"Цена деления лимба при продольном перемещении, мм",1
21,"Цена деления лимба при поперечном перемещении, мм",01
22,"Наибольшее продольное перемещение на оборот лимба, мм",300
23,"Наибольшее поперечное перемещение на оборот лимба, мм",5
24,"Число ступеней подач продольных, поперечных, резцовых салазок",32
25,"Пределы продольных рабочих подач, мм/об",006..14
26,"Пределы поперечных рабочих подач, мм/об",0024..0518
27,"Пределы рабочих подач резцовых салазок, мм/об",0024..0518
28,"Скорость быстрых перемещений суппорта, продольных, м/мин",52
29,"Скорость быстрых перемещений суппорта, поперечных, м/мин",2
30,"Скорость быстрых перемещений резцовых салазок, м/мин",2
31,"Пределы шагов нарезаемых резьб метрических, мм",1..224
32,Пределы шагов нарезаемых резьб дюймовых,28..025
33,Пределы шагов нарезаемых резьб модульных,025...56
34,Пределы шагов нарезаемых резьб питчевых,112...05
35,Резцовые салазки,
36,"Наибольшее перемещение, мм",200
37,"Наибольший угол поворота, град",±90°
38,"Цена деления лимба, мм",005
39,"Перемещение за один оборот лимба (шаг ходового винта), мм",5
40,Задняя бабка,
41,"Наибольшее перемещение пиноли, мм",220
42,"Поперечное смещение, мм",±10
43,Центр пиноли по ГОСТ 13214-79,Морзе 6
44,Электрооборудование,
45,Количество электродвигателей на станке,3
46,"Мощность электродвигателя главного привода, кВт (об/мин)","18,5 (1500)"
47,Тип электродвигателя главного привода,4АМР160М4У3
48,"Мощность электродвигателя быстрого хода, кВт (об/мин)","1,1 (1400)"
49,Тип электродвигателя быстрого хода,4АМ80А4У3
50,"Мощность электродвигателя насоса смазки, кВт (об/мин)",
51,"Мощность электродвигателя насоса охлаждения, кВт (об/мин)","0,12 (2800)"
52,Насос охлаждения (помпа),
53,"Суммарная мощность установленных на станке электродвигателей, кВт",197
54,"Габариты станка, мм",5350 х 1860 х 1625
55,"Масса станка, кг",6200
