index,Наименование параметра,ИЖ-250
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,"Н,П"
2,"Наибольший диаметр заготовки обрабатываемой над станиной, мм",250
3,"Наибольший диаметр заготовки обрабатываемой над суппортом, мм",125
4,"Наибольшая длина заготовки (РМЦ), мм",500
5,"Высота оси центров над плоскими направляющими станины, мм",150
6,"Высота от опорной поверхности резца до линии центров, мм",20
7,"Наибольшее рассояние от оси центров до кромки резцедержателя, мм",
8,Шпиндель,
9,"Диаметр сквозного отверстия в шпинделе, мм",35
10,"Наибольший диаметр прутка, проходящий через отверстие в шпинделе, мм",33
11,"Количество ступеней прямого вращения шпинделя, об/мин",22
12,"Частота прямого вращения шпинделя, об/мин",16..2000
13,"Размер внутреннего конуса в шпинделе, М",Морзе 5
14,Конец шпинделя по ГОСТ 12593-72,М68х6
15,Торможение шпинделя,Есть (мех)
16,Подачи,
17,"Наибольшая длина хода каретки суппорта, мм",500
18,"Цена деления лимба продольного перемещения суппорта, мм",01
19,"Продольное перемещение за один оборот лимба, мм",235
20,"Наибольшее поперечное перемещение суппорта, мм",150
21,"Цена деления лимба поперечного перемещения суппорта, мм",005
22,"Поперечное перемещение за один оборот лимба, мм",3
23,"Пределы рабочих подач продольных, мм/об",007..217
24,"Пределы рабочих подач поперечных, мм/об","0,01..1,08 (1/2 от прод.)"
25,"Скорость быстрых перемещений суппорта, продольных, м/мин",нет
26,"Скорость быстрых перемещений суппорта, поперечных, м/мин",нет
27,"Пределы шагов нарезаемых резьб метрических, мм",02..6
28,Пределы шагов нарезаемых резьб дюймовых,24..35
29,Пределы шагов нарезаемых резьб модульных,02..6
30,Выключающие продольные упоры,есть
31,Выключающие поперечные упоры,нет
32,Быстрое перемещение суппорта,нет
33,Резцовые салазки,
34,"Наибольшее перемещение верхних салазок суппорта, мм",120
35,"Цена деления лимба, мм",01
36,"Наибольшие размеры державки резца, мм",20 х 20
37,"Цена деления шкалы поворота, град",1°
38,Задняя бабка,
39,Размер внутреннего конуса пиноли задней бабки по ГОСТ 25557-82,Морзе 3
40,Центр пиноли задней бабки по ГОСТ 13214-79,Морзе 3
41,"Наибольшее перемещение пиноли задней бабки, мм",90
42,"Цена деления линейки перемещение пиноли, мм",1
43,"Цена деления лимба перемещение пиноли, мм",
44,"Поперечное смещение пиноли, мм",±10
45,Электрооборудование,
46,Количество электродвигателей на станке,3
47,"Электродвигатель главного привода, кВт (об/мин)","2,6/ 3(1420/ 2800)"
48,"Электродвигатель станции смазки, кВт (об/мин)","0,18 (1400)"
49,"Электродвигатель насоса охлаждения, кВт (об/мин)","0,12 (2800)"
50,Насос охлаждения (помпа),ПА-22
51,Габаритные размеры и масса станка,
52,"Габариты станка (длина ширина высота), мм",2030 х 875 х 1220
53,"Масса станка, кг",1570
