index,Наименование параметра,ФС65МФ3
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,Н
2,Модель устройства ЧПУ,Sinumerik 828D
3,Количество управляемых координат,3
4,Количество одновременно управляемых координат при линейной/ круговой интерполяции,3/3
5,"Наибольший диаметр сверления в стали 45, мм",
6,"Наибольший диаметр растачивания, мм",
7,"Пределы диаметров нарезаемой резьбы, мм",
8,"Наибольший диаметр торцевой фрезы, мм",
9,"Наибольшая длина инструмента, устанавливаемого на станке, мм",
10,"Наименьшее и наибольшее расстояние от торца шпинделя до стола, мм",150..600
11,"Расстояние от оси шпинделя до вертикальных направляющих станины (вылет), мм",
12,Рабочий стол,
13,"Размеры рабочей поверхности стола (ширина х длина), мм",360 х 780
14,"Предельные размеры обрабатываемых поверхности (длина х ширина х высота), мм",
15,"Максимальная нагрузка на стол (по центру), кг",500
16,Число Т-образных пазов Размеры Т-образных пазов,3
17,"Наибольшее продольное перемещение стола (X), мм",650
18,"Наибольшее поперечное перемещение стола (Y), мм",380
19,"Наибольшее вертикальное перемещение ползуна (Z), мм",450
20,"Поворот стола (А), град",
21,"Вращение стола (С), град",
22,"Предел рабочих подач стола и ползуна, мм/мин",1..15000
23,"Скорость быстрого перемещения по координатам X, Y, м/мин",30
24,"Скорость быстрого перемещения по координате Z, м/мин",30
25,"Допустимое усилие подачи по координате X, Y, Z, Н",
26,"Точность позиционирования по координате X, Y, Z, мм","± 0,004"
27,Шпиндель,
28,"Частота вращения шпинделя, об/мин",40..12000
29,Количество скоростей шпинделя,Б/с
30,"Номинальный крутящий момент на шпинделе, Нм",57
31,Конус шпинделя по DIN 69871,ISO40
32,Степень точности конуса шпинделя,
33,Магазин инструмента,
34,"Емкость инструментального магазина, шт.",16
35,"Время смены инструмента, с",2.5
36,"Наибольший диаметр инструмента, устанавливаемого в магазине при длине 200 мм, мм (без пропуска гнезд)",150 (75)
37,"Наибольшая длина инструмента, устанавливаемого в шпинделе станка при Ø 60 мм, мм",250
38,"Максимальный диаметр сверла, мм",
39,"Наибольшая масса оправки, устанавливаемой в магазине, кг",6
40,Электрооборудование и привод,
41,"Электродвигатель привода главного движения, кВт",25/10
42,"Электродвигатели привода подач (X, Y, Z), кВт",
43,"Электронасос охлаждающей жидкости, кВт",
44,"Электродвигатель вращения магазина, кВт",
45,"Электродвигатель гидростанции, кВт",
46,"Электродвигатель насоса смазки, кВт",
47,"Суммарная мощность установленных на станке электродвигателей, кВт",47.5
48,Габариты и масса станка,
49,"Габариты станка (длина ширина высота), мм",2400 x 2000 x 2600
50,"Масса станка, кг",3700
