index,Наименование параметра,УНИВЕРСАЛ
0,Основные параметры станка,
1,"Наибольший диаметр заготовки над станиной, мм",100
2,"Наибольший диаметр заготовки над суппортом, мм",50
3,"Наибольшая длина заготовки в центрах (РМЦ), мм",150
4,"Рекомендуемая глубина точения за один проход, мм",
5,"Максимальная глубина точения за один проход, мм",
6,"Максимальный размер державки резца, мм",8 х 8
7,"Наибольший диаметр сверления по стали, мм",6
8,Передняя бабка. Шпиндель,
9,"Диаметр сквозного отверстия в шпинделе, мм",10
10,Присоединение патрона к шпинделю,М20
11,Размер конуса шпинделя,Морзе №1
12,Число ступеней частот прямого вращения шпинделя,10
13,"Частота прямого вращения шпинделя, об/мин",160..2890
14,"Диаметр токарного патрона, мм",80
15,"Ход гильзы передней бабки, мм",25
16,Суппорт (поперечный ползун). Подачи,
17,"Наибольшее продольное перемещение каретки суппорта, мм",160
18,"Перемещение суппорта продольное на одно деление лимба, мм",
19,"Наибольшее поперечное перемещение суппорта, мм",55
20,"Перемещение суппорта поперечное на одно деление лимба, мм",
21,"Наибольшее перемещение резцовых салазок (верхний суппорт, составной ползун), мм",-
22,"Цена деления шкалы поворота резцовых салазок, град",-
23,"Пределы продольных рабочих подач суппорта, мм/об",-
24,"Пределы шагов нарезаемых резьб метрических, мм",-
25,Задняя бабка,
26,"Наибольшее перемещение пиноли, мм",20
27,Конус задней бабки,Морзе 1
28,Электрооборудование,
29,"Номинальное напряжение питания, В",220 В 50 Гц
30,"Электродвигатель главного привода, Вт",120
31,Габариты и масса станка,
32,"Габариты станка (длина ширина высота), мм",480 х 318 х 216
33,"Масса станка, кг",265
