index,Наименование параметра,736
0,Основные параметры станка,
1,Класс точности станка,Н
2,"Длина хода ползуна, мм",95..650
3,"Наибольшее сечение резца, мм",20 х 30
4,"Наибольшее расстояние от опорной поверхности резца до станины (вылет), мм",700
5,"Высота ползуна над рабочей поверхностью стола, мм",370
6,Стол,
7,"Размеры рабочей поверхности стола - верхней, мм",450 х 650
8,"Наибольшее продольное горизонтальное перемещение стола, мм",600
9,"Наибольшее вертикальное перемещение стола, мм",300
10,Число горизонтальных подач стола,10
11,"Пределы горизонтальных подач стола, мм/дв.ход",033..333
12,"Быстрое, горизонтальное перемещение стола, м/мин",
13,"Быстрое вертикальное перемещение стола, м/мин",
14,"Цена деления лимба горизонтального перемещения, мм",
15,"Цена деления лимба вертикального перемещения, мм",
16,Ползун. Суппорт,
17,"Наибольшее вертикальное перемещение салазок суппорта (головки резца) от руки, мм",175
18,"Цена деления лимба, мм",
19,"Размеры окна резцедержателя, мм",
20,"Наибольший угол поворота резцовой головки до входа в станину, град",±60°
21,"Наибольший угол поворота доски резцедержателя, град",
22,"Наибольшее допустимое усилие резания, кН",
23,Число ступеней скоростей главного привода (перемещения ползуна),6
24,Числа двойных ходов ползуна в минуту,105..585
25,"Диапазон скоростей ползуна суппорта, мм/мин",
26,Число подач суппорта,
27,"Подачи суппорта, мм/дв.ход",
28,Электрооборудование. Привод,
29,Количество электродвигателей на станке,
30,"Электродвигатель главного движения, кВт (об/мин)","3,5 (950)"
31,"Электродвигатель быстрых перемещений стола, кВт",
32,Габариты и масса станка,
33,"Габариты станка (длина ширина высота), мм",2070 х 1415 х 1649
34,"Масса станка, кг",1750
