index,Наименование параметра,FSS400MR
0,Основные параметры станка,
1,"Размеры поверхности стола, мм",400 х 1600
2,"Наибольшая масса обрабатываемой детали, кг",1500
3,"Наибольший продольный ход стола (Ось X). Механика, мм",1120
4,"Наибольший поперечный ход стола (Ось Y). Механика, мм",345
5,"Наибольший вертикальный ход стола (Ось Z). Механика, мм",400
6,"Наибольший продольный ход стола (Ось X). Вручную, мм",1150
7,"Наибольший поперечный ход стола (Ось Y). Вручную, мм",370
8,"Наибольший вертикальный ход стола (Ось Z). Вручную, мм",430
9,"Расстояние от торца шпинделя до поверхности стола, мм",100..500
10,"Расстояние от оси шпинделя до вертикальных направляющих станины (вылет), мм",450
11,Шпиндель,
12,"Мощность привода главного движения, кВт",11
13,"Частота вращения шпинделя, об/мин",28..1400
14,Количество скоростей шпинделя,18
15,Ступенчатый переход скоростей шпинделя,125
16,"Перемещение пиноли шпинделя, мм",90
17,"Перемещение пиноли шпинделя на одно деление лимба, мм",005
18,"Угол поворота шпиндельной головки, град",±45°
19,Конец шпинделя,Конус ISO 50
20,"Максимальный допустимый момент вращения, Нм",1850
21,"Диаметр переднего подшипника, мм",100
22,"Наибольший диаметр резцовой фрезерной головки, мм",315
23,Рабочий стол. Подачи,
24,"Пределы продольных и поперечных подач стола (X, Y), мм/мин",16..800
25,"Пределы вертикальных подач стола (Z), мм/мин",5..250
26,"Количество подач стола (продольных, поперечных, вертикальных)",18
27,"Скорость быстрых перемещений (продольных, поперечных/ вертикальных) X, Y/ Z, м/мин","3,15/ 1,0"
28,"Перемещение стола на одно деление лимба (продольное, поперечное, вертикальное), мм",005
29,"Перемещение стола на один оборот лимба (продольное, поперечное/ вертикальное), мм",
30,"Наибольшее допустимое усилие резания (продольное/ поперечное/ вертикальное), кН",
31,Механика станка,
32,"Выключающие упоры подачи (продольной, поперечной, вертикальной)",Есть
33,"Блокировка ручной и механической подач (продольной, поперечной, вертикальной)",Есть
34,Блокировка раздельного включения подач,Есть
35,Торможение шпинделя,Есть
36,Предохранительная муфта от перегрузок,Есть
37,Автоматическая прерывистая подача,Есть
38,Электрооборудование и приводы станка,
39,Количество электродвигателей на станке,5
40,"Электродвигатель главного движения, кВт",11
41,"Электродвигатель привода подач, кВт",22
42,"Электродвигатель зажима инструмента, кВт",
43,"Электродвигатель насоса СОЖ, кВт",
44,"Суммарная мощность всех электродвигателей, кВт",1443
45,Габариты и масса станка,
46,"Габариты станка (длина ширина высота), мм",3500 x 2920 x 2710
47,"Масса станка, кг",4700
