index,Наименование параметра,3Б722
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,П
2,"Наибольшие размеры обрабатываемых изделий (длина х ширина х высота), мм",1000 х 360 х 400
3,"Наибольшие размеры обрабатываемых изделий на плите электромагнитной (длина х ширина х высота), мм",
4,"Наименьшие размеры обрабатываемых изделий на плите электромагнитной (длина х ширина х высота), мм",
5,"Расстояние от оси шпинделя до зеркала стола, мм",190..630
6,"Наибольшая масса изделий обрабатываемых на столе, кг",
7,"Наибольшая масса изделий обрабатываемых на плите электромагнитной, кг",
8,Рабочий стол станка,
9,"Размеры рабочей поверхности стола (длина х ширина), мм",1000 х 320
10,"Размеры поверхности электромагнитной плиты (длина х ширина), мм",900 х 320
11,"Продольное перемещение стола от гидравлики (наименьшее/наибольшее, мм",300..1050
12,"Скорость возвратно-поступательного движения стола (регулирование бесступенчатое), м/мин",2..40
13,Шлифовальная бабка,
14,"Размеры шлифовального круга (наименьший и наибольший наружный диаметры), мм",325...450
15,"Размеры шлифовального круга (внутренний диаметр/ высота), мм",203/ 63
16,Размеры шлифовального круга по ГОСТ 2424-75,
17,Число оборотов шлифовального круга в минуту,1460
18,"Наибольший допустимый крутящий момент на шпинделе, кгс*м",67
19,"Наибольшая скорость шлифования, м/с",
20,"Конец шпинделя шлифовальной бабки по ГОСТ 2323-67, ГОСТ 2323-76 (конструкция/ конусность/ наибольший диаметр)",1/ 1:5/ 80
21,"Наибольшее поперечное перемещение шлифовальной бабки (стойки), мм",400
22,"Цена деления лимба поперечного перемещения шлифовальной бабки, мм",005
23,"Поперечное перемещение шлифовальной бабки на один оборот лимба, мм",45
24,"Ускоренное поперечное перемещение шлифовальной бабки, м/мин",
25,"Пределы скоростей поперечной подачи шлифовальной бабки (бесступенчатое регулирование), м/мин",005..30
26,"Автоматическая поперечная подача на каждый ход стола (бесступенчатое регулирование), мм/ход",1..30
27,"Наибольшее вертикальное перемещение шлифовальной бабки, мм",440
28,"Цена деления лимба вертикального перемещения шлифовальной бабки, мм",0005
29,"Вертикальное перемещение шлифовальной бабки на один оборот лимба, мм",10
30,"Автоматические вертикальные подачи шлифовальной бабки, мм",0005..01
31,"Скорость вертикального ускоренного перемещения, м/мин",0450
32,Привод и электрооборудование станка,
33,Количество электродвигателей на станке,6
34,"Электродвигатель шпинделя шлифовальной бабки (М1), кВт",10
35,"Электродвигатель насоса гидросистемы (М2) (гидростанция), кВт",55
36,"Электродвигатели воздушного теплообменника (М3, М11) (гидростанция), кВт",нет
37,"Электродвигатель насоса системы смазки (М4), кВт",012
38,"Электродвигатель привода механизма правки круга (М5), кВт",
39,"Электродвигатель насоса системы охлаждения (М6), кВт",012
40,"Электродвигатель магнитного сепаратора (М7), кВт",012
41,"Электродвигатель фильтра транспортера (М8), кВт",нет
42,"Электродвигатель регулировки дросселя скорости движения стола (М9) (гидростанция), кВт",
43,"Электродвигатель насоса охлаждения масла (М10) гидростанция, кВт",
44,"Электродвигатель вертикального ускоренного перемещения шлифовальной бабки (М12), кВт",11
45,"Электродвигатель привода поперечной подачи стойки (М13), кВт",
46,"Электродвигатель вертикальной подачи шлифовальной бабки (М14), кВт",
47,"Электродвигатель насоса откачки утечек, кВт",нет
48,"Общая установленная мощность всех электродвигателей, кВт",3685
49,род тока питающей сети,"50Гц, 380 В"
50,Габариты и масса станка,
51,"Габарит станка (длина х ширина х высота), мм",3410 х 2020 x 2290
52,"Масса станка, кг",6950
