index,Наименование параметра,1А95
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,Н
2,"Наибольший диаметр заготовки над станиной, мм",420
3,"Наибольший диаметр заготовки над выемкой станины (по заказу), мм",-
4,"Наибольший диаметр заготовки над суппортом, мм",
5,"Высота центров над направляющими станины, мм",
6,"Высота оси шпинделя над суппорт-столом, мм",175..420
7,"Наибольшая длина заготовки (РМЦ), мм",1000
8,"Наибольшая длина обтачивания, мм",
9,"Наибольшая масса заготовки в патроне, кг",
10,"Наибольшая масса заготовки в центрах, кг",
11,Передняя бабка,
12,"Наибольшее вертикальное перемещение передней бабки, мм",
13,Шпиндель,
14,"Диаметр сквозного отверстия в шпинделе, мм",35
15,"Наибольший диаметр прутка, мм",32
16,Число ступеней частот прямого вращения шпинделя,12
17,"Частота прямого вращения шпинделя, об/мин",23..1000
18,Размер внутреннего конуса в шпинделе,Морзе 5
19,Конец шпинделя по ГОСТ 12593-72,М68 х 6
20,Торможение шпинделя,
21,Суппорт-стол. Подачи,
22,"Размеры рабочей поверхности фрезерного стола, мм",300
23,"Наибольшее продольное перемещение каретки суппорта, мм",
24,"Наибольшее поперечное перемещение суппорта, мм",
25,"Наибольшее поперечное перемещение верхнего суппорта (резцовые салазки), мм",
26,Число ступеней продольных и поперечных подач,15
27,"Пределы скорости продольных подач, мм/об",013..117
28,"Пределы скорости поперечных подач, мм/об",007..065
29,"Скорость быстрых перемещений суппорта, продольных/ поперечных, м/мин",
30,"Продольное перемещение на одно деление лимба, мм",
31,"Продольное перемещение на одно деление нониуса, мм",
32,"Поперечное перемещение суппорта на одно деление лимба, мм",
33,"Перемещение резцовых салазок на одно деление лимба, мм",
34,Количество нарезаемых резьб метрических,
35,"Пределы шагов нарезаемых резьб метрических, мм",05..18
36,Количество нарезаемых резьб дюймовых,28..3
37,Пределы шагов нарезаемых резьб дюймовых,
38,Количество нарезаемых резьб модульных,
39,Пределы шагов нарезаемых резьб модульных,
40,Количество нарезаемых резьб питчевых,
41,Пределы шагов нарезаемых резьб питчевых,
42,Предохранитель от перегрузки,
43,Блокировка продольных и поперечных подач,
44,Выключающие продольные упоры,
45,"Шероховатость поверхности заготовки из конструкционной стали при чистовом обтачивании, мкм, не более",
46,Задняя бабка,
47,"Наибольшая длина перемещения задней бабки вдоль станины, мм",
48,"Наибольшая длина вертикального перемещения задней бабки, мм",
49,"Наибольшая длина перемещения пиноли задней бабки, мм",
50,"Наибольшее перемещение задней бабки, мм",
51,Размер внутреннего конуса,
52,Сверлильный агрегат,
53,"Наибольший диаметр сверления, мм",25
54,"Наибольший ход шпинделя, мм",80
55,"Вылет оси сверлильного шпинделя, мм",290
56,"Диаметр сверлильного стола, мм",
57,"Вертикальное перемещение сверлильного стола, мм",
58,Размер внутреннего конуса сверлильного шпинделя,
59,"Расстояние от конца шпинделя до сверлильного стола, мм",
60,Количество скоростей шпинделя,
61,"Частота прямого вращения шпинделя, об/мин",62..1118
62,Вертикально-фрезерная головка,
63,"Вылет оси шпинделя фрезерной головки, мм",
64,"Расстояние от конца шпинделя до суппорт-стола, мм",
65,"Наибольшее продольное перемещение суппорт-стола, мм",
66,Размер внутреннего конуса фрезерной головки,
67,Шлифовальное приспособление,
68,"Диаметр шлифуемой заготовки при наружном шлифовании, мм",
69,"Диаметр шлифуемой заготовки при внутреннем шлифовании, мм",
70,"Частота вращения шпинделя при наружном шлифовании, об/мин","5950, 3560"
71,"Частота вращения шпинделя при внутреннем шлифовании, мм",
72,Долбежное приспособление,
73,"Длина хода долбяка, мм",100
74,"Вылет суппорта долбяка, мм",
75,"Наибольшая высота долбления, мм",
76,"Наибольшая длина долбления, мм",
77,"Наибольшая ширина хода долбления, мм",
78,Электрооборудование,
79,Количество электродвигателей на станке,5
80,"Электродвигатель главного привода, кВт (об/мин)",3 (1430)
81,"Электродвигатель привода ускоренных перемещений, кВт",-
82,"Электродвигатель привода сверлильного агрегата, кВт",11
83,"Электродвигатель заточного приспособления , кВт",08
84,"Электродвигатель шлифовального приспособления , кВт",08
85,"Электродвигатель насоса охлаждения, кВт",012
86,"Суммарная мощность, кВт",
87,Габариты и масса станка,
88,"Габариты станка (длина ширина высота) (РМЦ 1000), мм",2800 х 1290 х 1650..1775
89,"Масса станка (РМЦ 1000), кг",2050
