index,Наименование параметра,2Т125
0,Основные параметры станка,
1,"Наибольший диаметр сверления в стали 45, мм",25
2,"Наибольший диаметр сверления в чугуне СЧ20, мм",32
3,"Наибольший диаметр нарезаемой резьбы в стали 45, мм",М20
4,Наименьшее и наибольшее расстояние от торца шпинделя до стола,0..620
5,Наименьшее и наибольшее расстояние от торца шпинделя до плиты,740..900
6,"Расстояние от оси вертикального шпинделя до образующей колонны (вылет), мм",260
7,Точность отверстий после развертывания,
8,Рабочий стол,
9,"Размер рабочей поверхности плиты, мм",500 х 525
10,"Размер рабочей поверхности стола, мм",400 х 500
11,"Суммарный угол поворота стола вокруг колонны, град",180°
12,"Суммарный угол поворота стола вокруг собственной оси, град",-
13,"Перемещение стола наибольшее, мм",590
14,"Диаметр колонны, мм",120
15,Сверлильная головка. Шпиндель,
16,"Наибольшее перемещение шпиндельной головки (бабки) по колонне, мм",-
17,"Ход гильзы шпинделя, мм",160
18,"Частота вращения шпинделя, об/мин",80..2000
19,Количество скоростей шпинделя,8
20,Количество подач шпинделя,3
21,Величина подач шпинделя,"0,1; 0,2; 0,3"
22,Конус шпинделя,Морзе 3
23,Отключение подачи при достижении заданной глубины сверления,"Ручное, автоматическое"
24,Реверсирование шпинделя на заданной глубине резьбы,"Ручное, автоматическое"
25,"Наибольший крутящий момент на шпинделе, Нм",70
26,"Наибольшее усилие подачи шпинделя, Н",6000
27,Электрооборудование. Привод,
28,"Электродвигатель привода главного движения Мощность, кВт",15
29,"Электродвигатель привода насоса охлаждения, кВт",018
30,Габарит и масса станка,
31,"Габариты станка (длина ширина высота), мм",950 х 560 х 2200
32,"Масса станка (нетто), кг",430
