index,Наименование параметра,3Е12
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,А
2,"Наибольший диаметр обрабатываемого изделия, мм",200
3,"Наибольшая длина обрабатываемого изделия (РМЦ), мм",500
4,"Наибольший диаметр наружного шлифования, мм",120
5,"Наименьший диаметр шлифования, мм",
6,"Рекомендуемый диаметр шлифования, мм",10..60
7,"Наибольшая длина наружного шлифования, мм",450
8,"Диаметр шлифуемого отверстия, мм",20..40
9,"Расстояние от оси шпинделя передней бабки до зеркала стола - высота центров, мм",120
10,"Максимальная масса изделия, кг",20
11,Станина и столы станка,
12,"Наибольшее продольное перемещение стола, мм",550
13,"Наименьший ход стола между упорами, мм",3
14,"Ручное замедленное/ ускоренное перемещения стола за один оборот маховика, мм","1,4/ 15"
15,"Скорость перемещения стола от гидросистемы, м/мин",003..2
16,"Наибольший угол поворота верхнего стола по часовой стрелке, град",
17,"Наибольший угол поворота верхнего стола против часовой стрелки, град",6
18,"Цена деления шкалы поворота верхнего стола, град",
19,"Цена деления шкалы поворота верхнего стола (конусность), мм/м",
20,Шлифовальная бабка,
21,"Наибольшее перемещение шлифовальной бабки от маховика, мм",125
22,"Перемещение шлифовальной бабки относительно верхних салазок, мм",
23,"Перемещение шлифовальной бабки во время быстрого подвода, мм",25
24,"Поворот шлифовальной бабки (к изделию), град",90
25,"Поворот шлифовальной бабки (от изделия), град",10
26,Шлифовальный круг по ГОСТ 2424-67,350 х 40 х 127
27,"Диаметр шлифовального круга - наибольший/ наименьший, м/с",350/ 250
28,"Диаметр шлифовального круга - посадочный, м/с",127
29,"Наибольшая высота устанавливаемого круга, мм",40
30,"Частота вращения шпинделя наружного шлифования, об/мин",1930
31,"Толчковая подача - периодическая подача с реверсированием стола, мм",
32,"Цена деления лимба поперечной подачи, мм",
33,"Цена деления лимба тонкой поперечной подачи, мм",0002
34,"Величина поперечного перемещения шлифовальной бабки за один оборот маховика, мм",
35,"Скорость быстрого установочного перемещения шлифовальной бабки, мм/мин",
36,"Конец шлифовального шпинделя по ГОСТ 2323-67 (конусность 1:5, номинальный диаметр), мм",65
37,Приспособление для внутреннего шлифования,
38,"Наибольший диаметр заготовки, устанавливаемой в патроне, мм",
39,"Наибольшая длина шлифуемого отверстия, мм",
40,"Диаметр внутришлифовальной головки, мм",
41,Число оборотов внутришлифовального шпинделя,24000
42,Передняя бабка,
43,"Частота вращения изделия (бесступенчатое регулирование), об/мин",100..1000
44,"Угол поворота в сторону шлифовального круга, град",
45,"Угол поворота в сторону от шлифовального круга, град",
46,Конус шпинделя передней бабки по ГОСТ 2847-67,
47,Задняя бабка,
48,"Величина отвода пиноли задней бабки от руки, мм",25
49,Конус шпинделя пиноли задней бабки по ГОСТ 2847-67,Морзе 4
50,Привод и электрооборудование станка,
51,Количество электродвигателей на станке,10
52,"Электродвигатель шпинделя шлифовальной бабки, кВт",30
53,"Электродвигатель внутришлифовального шпинделя, кВт",
54,"Электродвигатель привода микроподачи, кВт",012
55,"Электродвигатель привода изделия, кВт",10
56,"Электродвигатель насоса гидросистемы, кВт",11
57,"Электродвигатель насоса системы смазки шпинделя, кВт",027
58,"Электродвигатель привода вентилятора, кВт",012
59,"Электродвигатель привода генератора высокой частоты, кВт",30
60,"Электродвигатель насоса системы охлаждения, кВт",012
61,"Электродвигатель магнитного сепаратора, кВт",008
62,Габаритные размеры и масса станка,
63,"Габаритные размеры станка (длина х ширина х высота), мм",2300 х 2400 х 1600
64,"Масса станка с электрооборудованием и охлаждением, кг",3500
