index,Наименование параметра,3Е184В
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,"В,А"
2,"Наибольший диаметр обрабатываемой заготовки, мм",4..80
3,Наименьший диаметр рекомендуемый при врезном шлифовании,
4,"Наибольшая длина обрабатываемых изделий (ограничивается жесткостью и устойчивостью изделий) при сквозном шлифовании, мм",245
5,"Наибольшая длина обрабатываемых изделий (ограничивается жесткостью и устойчивостью изделий) при врезном шлифовании, мм",156..245
6,"Наибольшая длина обрабатываемых изделий в нормальном приспособлении, мм",
7,"Наибольшая длина прутка в специальном приспособлении, мм",1000
8,"Высота от основания станка до оси кругов, мм",1060
9,"Высота от зеркала мостика до оси кругов (высота центров), мм",250
10,Шлифовальный круг,
11,Тип шлифовального круга по ГОСТ 2424-83,ПП
12,"Наружный диаметр наименьший/ наибольший, мм",390..500
13,"Высота (ширина) круга наименьшая/ наибольшая, мм",160..250
14,"Диаметр отверстия, мм",305
15,Число оборотов в минуту,"1337, 2293"
16,"наименьшая и наибольшая окружная скорость (скорость шлифования), м/сек",35..60
17,Ведущий круг,
18,Тип шлифовального круга по ГОСТ 2424-83,ПП
19,"Наружный диаметр наименьший/ наибольший, мм",295..350
20,"Наибольшая высота (ширина) наименьшая/ наибольшая, мм",160..250
21,"Диаметр отверстия, мм",203
22,Бабка шлифовального круга,
23,"Размер конца шпинделя шлифовального круга по ГОСТ 2323—67, мм",Ø 125 х 125
24,"Наибольшее установочное перемещение при снятых кругах, мм",140
25,"Наибольшее ускоренное перемещение при врезном шлифовании, мм",70
26,"Рабочее перемещение на одно деление лимба механизма подачи, мм",0001
27,"Рабочее перемещение на один оборот лимба механизма подачи, мм",0125
28,"Рабочее перемещение толчковой подачи, мм",0001
29,"Наибольшее рабочее перемещение механизмом врезания, мм",5
30,"Скорость подачи при врезном шлифовании, мм/мин",01..30
31,Бабка ведущего круга,
32,"Перемещение наибольшее при снятых кругах, мм",150
33,"Перемещение на одно деление лимба винта подачи, мм",002
34,"Перемещение на один оборот лимба винта подачи, мм",15
35,"Наибольший угол наклона в вертикальной плоскости, град",±8°
36,"Наибольший угол наклона в горизонтальной плоскости, мин",±30°
37,Число оборотов в минуту при работе (бесступенчатое регулирование),12..150
38,Число оборотов в минуту при правке,300
39,Механизм правки шлифовального круга,
40,"Наибольшее поперечное перемещение алмаза, мм",65
41,"Поперечное перемещение алмаза на одно деление лимба, мм",001
42,"Поперечное перемещение алмаза на один оборот лимба, мм",15
43,"Скорость перемещения алмаза в продольном направлении наибольшая, мм/мин",30..600
44,"Наибольший угол разворота копира, град",±5°
45,"Привод, габарит и масса станка",
46,Род тока питающей сети,"Переменный трехфазный, 380 В, частота тока 50 Гц"
47,"Напряжение электроприводов, в",380
48,"Напряжение цепей управления, в",110
49,"Напряжение цепей местного освещения, В",24
50,"Напряжение сигнализации, В",22
51,"Напряжение постоянного тока, В",24
52,Количество электродвигателей на станке,12
53,"Электродвигатель привода шлифовального круга, кВт (об/мин)",30 (1500)
54,Электродвигатель привода ведущего круга - тип,
55,"Электродвигатель привода ведущего круга, кВт (об/мин)","2,0 (3150)"
56,Электродвигатель привода электромашинного усилителя - тип,
57,"Электродвигатель привода электромашинного усилителя, кВт (об/мин)",
58,"Электродвигатель привода гидронасоса, кВт (об/мин)","2,2 (1000)"
59,"Электродвигатель насоса смазки подшипников шпинделя шлифовального круга, кВт (об/мин)","1,5 (1500)"
60,"Электродвигатель насоса смазки подшипников шпинделя ведущего круга, кВт (об/мин)","1,5 (1500)"
61,"Электродвигатель привода насоса охлаждения, кВт (об/мин)",
62,"Электродвигатель привода магнитного сепаратора, кВт (об/мин)","0,09 (1500)"
63,"Электродвигатель привода правки шлифовального круга, кВт (об/мин)","0,09 (1500)"
64,"Электродвигатель привода правки ведущего круга, кВт (об/мин)","0,09 (1500)"
65,"Электродвигатель привода ускоренного перемещения шлифовальной бабки, кВт (об/мин)","0,25 (1500)"
66,"Суммарная мощность электродвигателей, кВт",3824
67,Габаритные размеры и масса станка,
68,"Габарит станка (длина X ширина X высота), мм",3650 х 2420 х
69,"Масса станка с приставным оборудованием, кг",6990
