index,Наименование параметра,КС-02
0,Основные параметры станка,
1,Класс точности по ГОСТ 8-82Е,Н
2,"Наибольший диаметр сверления в стали 45, мм",12
3,"Наибольший диаметр растачивания, мм",70
4,"Наибольший диаметр фрезы при фрезеровании, мм",
5,"Наименьшее и наибольшее расстояние от торца шпинделя до стола, мм",280
6,"Расстояние от оси шпинделя до стойки (вылет шпинделя), мм",215
7,Стол,
8,"Рабочая поверхность стола, мм",250 х 600
9,"Наибольшее продольное перемещение стола, мм",200
10,"Наибольшее поперечное перемещение стола, мм",150
11,"Наибольшая масса обрабатываемого изделия, кг",
12,Шпиндель,
13,"Наибольшее вертикальное (ход) перемещение гильзы шпинделя ручное, мм",100
14,"Наибольшее вертикальное перемещение шпиндельной бабки (установочное), мм",200
15,Количество скоростей шпинделя,4
16,"Частота вращения шпинделя, об/мин","445, 620, 875, 1220"
17,"Пределы рабочих подач на один оборот шпинделя, мм/об (количество ступеней)","0,05 (1)"
18,Внутренний конус шпинделя,Морзе 2
19,Привод,
20,Количество электродвигателей на станке,1
21,"Электродвигатель привода главного движения, кВт (об/мин)","1,0 (1410)"
22,Габарит станка,
23,"Габариты станка, включая ход стола и салазок, мм",720 х 850 х 1690
24,"Масса станка, кг",382
