index,Наименование параметра,5К310
0,Основные параметры станка,
1,"Наибольший модуль нарезаемого колеса (с дополнительным сменным суппортом), мм",4
2,"Наибольший диаметр нарезаемых цилиндрических прямозубых колес (0°) с задней стойкой (с контрподдержкой), мм",200
3,"Наибольший диаметр нарезаемых цилиндрических прямозубых колес (0°) с отведенной задней стойкой (без контрподдержки), мм",
4,"Наибольший диаметр нарезаемых цилиндрических косозубых колес (30°), мм",
5,"Наибольший диаметр нарезаемых цилиндрических косозубых колес (45°), мм",
6,"Наибольший угол наклона нарезаемых зубъев обрабатываемых колес, град",±60
7,"Наибольший диаметр червячных нарезаемых колес, мм",
8,"Наибольшая длина венца нарезаемых цилиндрических прямозубых колес (0°), мм",
9,"Наибольшая длина венца нарезаемых цилиндрических косозубых колес (30°), мм",
10,"Наибольшая длина венца нарезаемых цилиндрических косозубых колес (45°), мм",
11,"Число нарезаемых зубьев (исполнение 01, исполнение 02)",
12,"Расстояние от оси шпинделя до направляющих суппорта, мм",
13,Стол,
14,"Диаметр стола, мм",200
15,"Расстояние между осями стола и фрезы, мм",45..180
16,"Расстояние от плоскости стола до оси фрезы, мм",145..365
17,"Ускоренное перемещение стола, мм/мин",130
18,"Ручное перемещение стола на одно деление лимба, мм",01
19,"Перемещение упора остановки стола на одно деление лимба, мм",002
20,Суппорт,
21,"Наибольшее перемещение фрезерного суппорта, мм",220
22,"Ускоренное перемещение суппорта, мм/мин",280
23,"Наибольший диаметр режущего инструмента (червячной фрезы), мм",125
24,"Наибольшая длина режущего инструмента (червячной фрезы), мм",125
25,"Диаметры фрезерных оправок, мм",
26,"Ускоренное перемещение шпинделя вдоль оси, мм/мин",нет
27,"Поворот суппорта на одно деление шкалы линейки, град",1°
28,"Поворот суппорта на одно деление шкалы нониуса, мин",10`
29,Конусное отверстие шпинделя,Морзе 4
30,"Наибольшее осевое перемещение фрезы, мм",50
31,"Наибольшая величина вертикального перемещения суппорта при угле наклона 0°, мм",220
32,"Наибольшая величина вертикального перемещения суппорта при угле наклона 30°, мм",170
33,"Наибольшая величина вертикального перемещения суппорта при угле наклона 45°, мм",150
34,"Наибольшая величина вертикального перемещения суппорта при угле наклона 60°, мм",30..105
35,Механика станка,
36,"Пределы оборотов фрезы, об/мин",63..400
37,Число ступеней оборотов фрезы,9
38,"Пределы продольных (вертикальных) подач, мм/об",063..4
39,"Пределы радиальных подач, мм/об",0315..2
40,"Пределы тангенциальных подач, мм/об",
41,Число ступеней продольных (вертикальных) подач,9
42,Число ступеней радиальных подач,9
43,Привод и электрооборудование станка,
44,Количество электродвигателей на станке,5
45,"Электродвигатель главного привода, кВт",4
46,"Электродвигатель ускоренного хода, кВт",2
47,"Электродвигатель привода шагового движения, кВт",027
48,"Электродвигатель привода гидронасоса, кВт",11
49,"Электродвигатель насоса охлаждения, кВт",012
50,"Суммарная мощность электродвигателей, кВт",749
51,Габаритные размеры и масса станка,
52,"Габаритные размеры станка (длина х ширина х высота), мм",2000 х 1300 х 2040
53,"Масса станка с электрооборудованием и охлаждением, кг",4350
