index,Наименование параметра,ИР-800ПМФ4
0,Основные параметры станка,
1,Класс точности по ГОСТ 8-82,П
2,"Размеры рабочей поверхности стола (длина х ширина), мм",800 х 800
3,"Перемещение поперечное стола (ось X), мм",1000
4,"Перемещение вертикальное шпиндельной бабки (ось Y), мм",710
5,"Перемещение продольное стойки (ось Z), мм",800
6,"Вращение индексируемого поворотного стола (ось B), град",3° 120 поз.
7,"Наибольший диаметр сверления в стали, мм",40
8,"Наибольший диаметр растачиваемого отверстия, мм",160
9,"Наибольший диаметр торцовой фрезы, мм",160
10,"Точность позиционирования по осям X/ Y, мм",
11,"Точность позиционирования по осям Z, мм",
12,"Рабочая подача по осям X, Y, Z, мм/мин",1..3200
13,"Скорость быстрых установочных перемещений по осям X, Y, Z, м/мин",10
14,"Наибольшее допустимое усилие подачи стола и стойки по осям X, Z, Н",10000
15,"Наибольшее допустимое усилие подачи шпиндельной бабки (вертикальное) по оси Y, Н",8000
16,"Расстояние от оси шпинделя до стола, мм",50..760
17,Модель устройства ЧПУ,2С45-65
18,Количество управляемых координат,3
19,Количество одновременно управляемых координат при линейной/ круговой интерполяции,3/3
20,Рабочий стол,
21,"Максимальная нагрузка на стол (по центру), кг",150
22,Количество резьбовых отверстий на поверхности стола,45
23,"Диаметр резьбовых отверстий на поверхности стола, мм",М20
24,"Усилие зажима поворотного стола, кН",
25,Шпиндель,
26,"Частота вращения шпинделя, об/мин",21.2..3000
27,Количество скоростей шпинделя,89
28,"Наибольший крутящий момент, Нм",630
29,Конус шпинделя для крепления инструмента 7:24,50
30,Магазин инструмента,
31,Количество инструмента в магазине,30
32,"Время смены инструмента, с",6
33,"Время смены инструмента от стружки к стружке, с",162..212
34,"Максимальный диаметр рядом стоящего инструмента, мм",125
35,"Максимальный диаметр свободно стоящего инструмента, мм",160
36,"Максимальная длина инструмента от торца шпинделя, мм",300
37,"Масса инструментальной оправки с инструментом, кг",20
38,Устройство смены столов-спутников,
39,"Время смены столов-спутников, с",50..70
40,Электрооборудование и привод,
41,Количество электродвигателей на станке,12
42,"Электродвигатель постоянного тока привода главного движения, кВт",18
43,"Электродвигатели привода подач (X, Y, Z, B) и магазина, кВт",28
44,"Электродвигатель насоса гидростанции, кВт",55
45,"Электродвигатель вентилятора гидростанции, кВт",012
46,"Электродвигатель вентилятора шпинделя, кВт",012
47,"Электродвигатель насоса смазки шпиндельной бабки, кВт",11
48,"Электродвигатель насоса смазки направляющих, кВт",002
49,"Электронасос охлаждающей жидкости Мощность, кВт",012
50,"Суммарная мощность всех электродвигателей на станке, кВт",4318
51,Габариты и масса станка,
52,"Габариты станка (длина ширина), мм",5388 х 4635
53,"Габариты станка (высота), мм",3455
54,"Масса станка, кг",10050
