index,Наименование параметра,5В833
0,Основные параметры станка,
1,"Диаметр устанавливаемого изделия, мм",40..320
2,"Наименьший диаметр окружности впадин, мм",
3,"Модуль устанавливаемого изделия, мм",05..4
4,"Число зубъев устанавливаемого изделия, мм",12..200
5,"Наибольшая ширина зубчатого прямозубого венца устанавливаемого изделия, мм",150
6,"Расстояние между центрами суппорта обрабатываемого изделия, мм",215..335
7,"Расстояние от оси круга до линии центров, мм",195..420
8,"Наибольший угол наклона зубъев, мм",±45
9,"Точность обработки, DIN",
10,"Наибольшая масса устанавливаемого изделия, кг",
11,Бабка шлифовальная (шпиндельная),
12,"Диаметр шлифовального круга (абразивного червяка), мм",330..400
13,"Ширина шлифовального круга (абразивного червяка), мм",63; 80
14,"Диаметр посадочного отверстия шлифовального круга (абразивного червяка), мм",203
15,"Диаметр конца шлифовального шпинделя, мм",
16,"Число оборотов шлифовального круга, 1/мин",
17,"Вертикальное перемещение шлифовального шпинделя, мм",180
18,Суппорт изделия,
19,"Диаметр стола, мм",
20,"Ход стола, мм",180
21,"Подача обката, мм/мин",
22,"Конус шпинделя изделия, мм",Морзе 3
23,"Конус верхней бабки, мм",Морзе 3
24,"Ручное перемещение стойки вдоль оси шлифовального шпинделя, мм",120
25,Ползун,
26,"Длина хода, мм",
27,Число двойных ходов ползуна в минуту (бесступенчатое регулирование),
28,Ролик опорный,
29,"Наибольшая величина зоны перестановки, мм",
30,"Перемещение опорного ролика на одно деление лимба перестановки, мм",
31,"Перемещение опорного ролика на один оборот лимба перестановки, мм",
32,"Перемещение опорного ролика на один оборот лимба распределения припуска, мм",
33,"Цена деления шкалы нониуса зоны перестановки, мм",
34,"Цена деления шкалы лимба распределения припуска, мм",
35,Механизм правки,
36,Количество алмазов,
37,"Диапазон компенсации износа шлифовального круга при правке, мм",
38,"Автоматическая прерывная радиальная подача механизма правки, мм",
39,Привод и электрооборудование станка,
40,Количество электродвигателей на станке,
41,"Электродвигатель главного привода - шлифовального шпинделя, кВт",40
42,"Электродвигатель насоса гидравлики, кВт",11
43,"Электродвигатель вентилятора масляного теплообменника, кВт",
44,"Электродвигатель привода механизма подачи, кВт",
45,"Электродвигатель насоса охлаждения, кВт",
46,"Электродвигатель магнитного сепаратора, кВт",05
47,"Электродвигатель привода ползуна (вертикальной подачи), кВт",11
48,"Электродвигатель редуктора поворота ползуна, кВт",
49,"Электродвигатель пылесоса, кВт",027
50,"Электродвигатель системы смазки, кВт","0,08; 0,27"
51,"Суммарная мощность электродвигателей, кВт",
52,Габаритные размеры и масса станка,
53,"Габаритные размеры станка (длина х ширина х высота), мм",2400 х 2500 х 2040
54,"Масса станка с электрооборудованием и охлаждением, кг",7000
