index,Наименование параметра,5К324
0,Основные параметры станка,
1,"Наибольший модуль нарезаемого колеса, мм",8
2,"Наибольший диаметр нарезаемых цилиндрических прямозубых колес (0°), мм",500
3,"Наибольший диаметр нарезаемых цилиндрических косозубых колес (30°), мм",400
4,"Наибольший диаметр нарезаемых цилиндрических косозубых колес (45°), мм",300
5,"Наибольший диаметр нарезаемых цилиндрических косозубых колес (60°), мм",120...250
6,"Наибольший диаметр нарезаемых червячных колес, мм",500
7,"Наибольшая длина венца нарезаемых цилиндрических прямозубых колес (0°), мм",300
8,"Наибольшая длина венца нарезаемых цилиндрических косозубых колес (30°), мм",200
9,"Наибольшая длина венца нарезаемых цилиндрических косозубых колес (45°), мм",150
10,"Наибольшая длина венца нарезаемых цилиндрических косозубых колес (60°), мм",130
11,Наименьшее число нарезаемых зубьев,12
12,Стол,
13,"Диаметр стола, мм",500
14,"Расстояние между осями стола и фрезы, мм",60...350
15,"Расстояние от плоскости стола и оси фрезы, мм",210...570
16,"Ускоренное перемещение стола, мм/мин",170
17,"Ручное перемещение стола за один оборот лимба, мм",05
18,Суппорт,
19,"Наибольшее перемещение суппорта, мм",360
20,"Ускоренное перемещение каретки суппорта, мм/мин",550
21,"Наибольший диаметр режущего инструмента, мм",200
22,"Наименьшая длина режущего инструмента, мм",200
23,"Диаметры фрезерных оправок, мм",32; 40
24,"Ускоренное перемещение шпинделя вдоль оси, мм/мин",130
25,"Расстояние от оси шпинделя до направляющих суппорта, мм",319
26,"Наибольший угол наклона зубьев нарезаемого колеса, град",±60
27,"Поворот суппорта на одно деление шкалы линейки, град",1°
28,"Поворот суппорта на одно деление шкалы нониуса, мин",1`
29,Конусное отверстие шпинделя,Морзе 5
30,"Наибольшее осевое перемещение фрезы, мм",80
31,Механика станка,
32,"Пределы оборотов фрезы, об/мин",5...310
33,Число ступеней оборотов фрезы,9
34,"Пределы продольных подач, мм/об",08...50
35,"Пределы радиальных подач, мм/об",03...17
36,"Пределы тангенциальных подач, мм/об",017...37
37,Число ступеней подач,7
38,Привод и электрооборудование станка,
39,"Электродвигатель главного привода, кВт/ об/мин","7,5/ 1460"
40,"Электродвигатель ускоренного хода, кВт/ об/мин",3/ 1430
41,"Электродвигатель привода гидронасоса, кВт/ об/мин","1,1/ 930"
42,"Электродвигатель насоса охлаждения, кВт/ об/мин","0,15/ 2840"
43,Габаритные размеры и масса станка,
44,"Габаритные размеры станка (длина х ширина х высота), мм",250014402000
45,"Масса станка с электрооборудованием и охлаждением, кг",6400
