index,Наименование параметра,16Б16А
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,А
2,"Наибольший диаметр заготовки над станиной, мм",320
3,"Наибольший диаметр заготовки над суппортом, мм",180
4,"Наибольшая длина заготовки (РМЦ), мм","710, 750"
5,"Наибольшая длина обтачивания, мм",
6,"Наибольшее расстояние от оси центров до кромки резцедержателя, мм",185
7,"Высота оси центров над плоской частью станины (высота центров), мм",175
8,"Высота резца, устанавливаемого в резцедержателе, мм",25
9,Шпиндель,
10,"Диаметр сквозного отверстия в шпинделе, мм",36
11,"Наибольший диаметр прутка, мм",35
12,Число ступеней частот прямого вращения шпинделя,21
13,"Частота прямого вращения шпинделя, об/мин",16..2500
14,Число ступеней частот обратного вращения шпинделя,18
15,"Частота обратного вращения шпинделя, об/мин",16..1250
16,"Размер внутреннего конуса в шпинделе, М",Конус морзе 6
17,Конец шпинделя по ГОСТ 12593-72,6К
18,Торможение шпинделя,есть
19,Тип коробки скоростей,есть
20,Суппорт. Подачи,
21,"Наибольшее продольное перемещение суппорта от руки, по валику, по винту, мм",700..750
22,"Наибольшее поперечное перемещение суппорта от руки, по винту, мм",220
23,Число ступеней продольных и поперечных подач,
24,"Пределы продольных подач, мм/об",005...28
25,"Пределы поперечных подач, мм/об",0025...14
26,"Скорость быстрых перемещений суппорта, продольных, м/мин",4
27,"Скорость быстрых перемещений суппорта, поперечных, м/мин",2
28,"Продольное перемещение на одно деление лимба, мм",1
29,"Продольное перемещение на одно деление нониуса, мм",
30,"Поперечное перемещение на одно деление лимба, мм",001
31,"Продольное перемещение на один оборот лимба, мм",100
32,"Поперечное перемещение на один оборот лимба, мм",25
33,Количество нарезаемых резьб метрических,
34,"Пределы шагов нарезаемых резьб метрических, мм",025...56
35,Количество нарезаемых резьб дюймовых,
36,Пределы шагов нарезаемых резьб дюймовых,112...05
37,Количество нарезаемых резьб модульных,
38,Пределы шагов нарезаемых резьб модульных,025...56
39,Количество нарезаемых резьб питчевых,
40,Пределы шагов нарезаемых резьб питчевых,112...05
41,Предохранитель от перегрузки,есть
42,Блокировка продольных и поперечных подач,есть
43,Выключающие продольные упоры,есть
44,Верхний суппорт (резцовые салазки),
45,"Наибольшее перемещение верхнего суппорта, мм",120
46,"Перемещение на одно деление лимба, мм",002
47,"Перемещение на один оборот лимба, мм",2
48,"Наибольший угол поворота, град",±90°
49,"Цена деления шкалы поворота, град",1°
50,Задняя бабка,
51,"Наибольшее перемещение пиноли задней бабки, мм",120
52,"Цена деления линейки/ нониуса, мм","5/ 0,1"
53,Размер центра в пиноли по ГОСТ 13214-79,КМ 5
54,"Поперечное перемещение задней бабки, мм",±5
55,Электрооборудование,
56,Количество электродвигателей на станке,4
57,"Электродвигатель главного привода, кВт (об/мин)","2,8/ 4,6 (750/ 1500)"
58,"Привод ускоренных перемещений, кВт (об/мин)","0,37 (1500)"
59,"Электродвигатель насоса охлаждения, кВт (об/мин)","0,12 (3000)"
60,"Электродвигатель станции смазки, кВт (об/мин)","0,18 (1500)"
61,Габариты и масса станка,
62,"Габариты станка (РМЦ=1000), мм",2280 х 1060 х 1485
63,"Масса станка (РМЦ=1000), кг",2110
