index,Наименование параметра,978М
0,Основные параметры станка,
1,Класс точности по ГОСТ 8-82,
2,"Размеры вертикального стола (основного), мм",195 х 550
3,"Размеры сменного горизонтального (углового) стола, мм",220 х 600
4,"Расстояние от оси горизонтального шпинделя до рабочей поверхности горизонтального стола, мм",
5,"Расстояние от торца вертикального шпинделя до рабочей поверхности горизонтального стола, мм",0..325
6,"Наибольший продольный ход стола (X), мм",250
7,"Наибольший вертикальный ход стола (Z), мм",290
8,"Наибольший ход шпиндельной бабки (Y), мм",140
9,"Цена деления лимбов, мм",0025
10,Горизонтальный и вертикальный шпиндели станка,
11,"Частота вращения горизонтального шпинделя, об/мин (число ступеней)",120..1170 (6)
12,"Частота вращения вертикального шпинделя, об/мин (число ступеней)",178..1740 (6)
13,Количество скоростей шпинделей,6
14,"Наибольший допустимый крутящий момент на горизонтальном шпинделе, Нм",
15,"Наибольший допустимый крутящий момент на вертикальном шпинделе, Нм",
16,"Наибольшее осевое перемещение вертикального шпинделя, мм",60
17,"Наибольший угол поворота вертикальной головки в вертикальной плоскости, градус",±45°
18,Конус горизонтального и вертикального шпинделей,Морзе 4
19,Стол,
20,"Пределы продольных подач стола (X), мм/мин (число ступерней)",19..184 (6)
21,"Пределы вертикальных подач стола (Z), мм/мин (число ступерней)",22..214 (6)
22,"Ускоренный ход стола, мм/мин",нет
23,Количество подач стола,6
24,"Наибольшее усилие подач стола, кН",
25,Шпиндельная бабка,
26,"Пределы поперечных подач шпиндельной бабки (Y), мм/мин",нет
27,Количество подач шпиндельной бабки,нет
28,"Наибольшее усилие подач шпиндельной бабки, Н",
29,Электрооборудование и привод станка,
30,"Количество электродвигателей на станке, кВт",2
31,"Электродвигатель главного привода, кВт (об/мин)","1,5 (1430)"
32,"Электродвигатель привода подач, кВт (об/мин)",
33,"Электродвигатель привода насоса охлаждения, кВт",015
34,"Суммарная мощность электродвигателей, кВт",165
35,Габарит и масса станка,
36,"Габариты станка (длина х ширина х высота), мм",1090 х 1045 х 1535
37,"Масса станка, кг",865
