index,Наименование параметра,СФ-1 ИСП.07
0,Основные параметры станка,
1,"Наибольший диаметр сверления, мм",Ø 23
2,"Наибольший диаметр рассверливания, мм",Ø 35
3,"Наибольший диаметр получаемой резьбы, мм",-
4,"Наибольший диаметр устанавливаемой фрезы, мм",-
5,Наименьшее и наибольшее расстояние от торца шпинделя до стола,323..423
6,"Расстояние от оси вертикального шпинделя до направляющих стойки (вылет), мм",
7,Рабочий стол,
8,"Ширина рабочей поверхности стола, мм",250 х 250
9,Число Т-образных пазов,1
10,"Продольное перемещение стола, мм",-
11,"Поперечное перемещение стола, мм",-
12,Шпиндель,
13,"Наибольшее перемещение шпиндельной головки (траверсы) по колонне, мм",200
14,"Ход гильзы шпинделя (пиноли), мм",100
15,"Частота вращения шпинделя, об/мин","320, 520, 810, 1350, 2100"
16,Количество скоростей шпинделя,5
17,Конус шпинделя,Морзе 3-АТ6ГОСТ 25557-82 (внутр.
18,"Поворот головки в горизонтальной плоскости, град",±30°
19,Привод,
20,"Электродвигатель привода главного движения, кВт",15
21,Габарит и масса станка,
22,"Габариты станка (длина ширина высота), мм",705 х 440 х 1005
23,"Масса станка, кг",150
