index,Наименование параметра,РТ117
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,Н
2,"Наибольший диаметр обрабатываемой заготовки над станиной, мм",1140
3,"Наибольший диаметр обрабатываемой заготовки над суппортом, мм",900
4,"Наибольшая длина заготовки (РМЦ), мм","1000, 3000, 5000, 8000, 10000"
5,"Высота устанавливаемого резца, мм",50
6,"Наибольшая масса заготовки в центрах, кг",8000(1000 с РМЦ от 5000 мм)
7,Шпиндель,
8,"Диаметр сквозного отверстия в шпинделе, мм",128
9,"Наибольший диаметр зажимаемого прутка, мм",120
10,"Наибольший крутящий момент на шпинделе, кН/м",95
11,Число ступеней частот прямого вращения шпинделя,24
12,"Частота прямого вращения шпинделя, об/мин",5..500
13,Размер внутреннего конуса в шпинделе,
14,Конец шпинделя по ГОСТ 12595-72,2-15М
15,"Диаметр стандартного патрона, мм",1000
16,Торможение шпинделя,есть
17,Суппорт. Подачи,
18,"Наибольшее продольное перемещение суппорта, мм",2710..4600
19,"Наибольшее поперечное перемещение суппорта, мм",700
20,"Цена деления лимба при продольном перемещении, мм",
21,"Цена деления лимба при поперечном перемещении, мм",
22,"Наибольшее продольное перемещение на оборот лимба, мм",
23,"Наибольшее поперечное перемещение на оборот лимба, мм",
24,Число ступеней продольных подач,
25,"Пределы продольных подач, мм/об",004..242
26,"Пределы поперечных подач, мм/об",0022..088
27,"Наибольшее продольное усилие резания Pz, кН",
28,"Наибольшее поперечное усилие резания Pх, кН",
29,"Скорость быстрых перемещений суппорта продольных/ поперечных, м/мин",3/ 1
30,Количество нарезаемых резьб метрических,
31,"Пределы шагов нарезаемых резьб метрических, мм",1..96
32,Количество нарезаемых резьб дюймовых,
33,"Пределы шагов нарезаемых резьб дюймовых, ниток на дюйм",24..025
34,Количество нарезаемых резьб модульных,
35,"Пределы шагов нарезаемых резьб модульных, модуль",05..24
36,"Количество нарезаемых резьб питчевых, питч диаметральный",96..1
37,Выключающие упоры продольные,есть
38,Выключающие упоры поперечные,есть
39,Резцовые салазки (верхний суппорт),
40,"Наибольшее перемещение резцовых салазок, мм",240
41,"Цена деления лимба перемещения резцовых салазок, мм",
42,Число ступеней подач,
43,"Пределы продольных подач, мм/об",0022..088
44,"Скорость быстрых перемещений, мм/мин",
45,"Наибольший угол поворота, град",
46,"Цена одного деления угла поворота, град",
47,Задняя бабка,
48,Центр в шпинделе по ГОСТ 13214-79,
49,"Наибольшее перемещение пиноли, мм",
50,"Наибольшее перемещение пиноли с установленным инструментом, мм",
51,"Диаметр пиноли, мм",
52,"Наибольшее перемещение бабки в поперечном направлении, мм",
53,Электрооборудование,
54,Количество электродвигателей на станке,
55,"Электродвигатель главного привода, кВт",22..30
56,"Электродвигатель быстрого хода суппорта, кВт",
57,Привод насоса смазки,
58,Насос охлаждения (помпа),
59,"Суммарная мощность всех электродвигателей, кВт",
60,Габариты и масса станка,
61,"Габариты станка (длина ширина высота) РМЦ=2800,3000, мм",4100..13000 х 2110 х 2000
62,"Масса станка РМЦ=3000, кг",11000..22000
