index,Наименование параметра,676 (1966)
0,Основные параметры станка,
1,Класс точности по ГОСТ 8-82,Н
2,"Размеры горизонтального (углового) стола, мм",250х800
3,"Размеры вертикального стола, мм",240х630
4,"Максимальная масса обрабатываемой детали, кг",
5,"Расстояние от оси горизонтального шпинделя до рабочей поверхности горизонтального стола, мм",60..460
6,"Расстояние от торца вертикального шпинделя до рабочей поверхности горизонтального стола, мм",0..375
7,"Наибольший вылет оси вертикального шпинделя, мм",
8,"Наибольший продольный ход стола (X), мм",450
9,"Наибольший ход шпиндельной бабки (Y), мм",300
10,"Наибольший вертикальный ход стола (Z), мм",400
11,"Цена деления лимбов, мм",005
12,Горизонтальный и вертикальный шпиндели станка,
13,"Частота вращения горизонтального шпинделя, об/мин (число ступеней)",50..1630 (16)
14,"Частота вращения вертикального шпинделя, об/мин (число ступеней)",63..2040 (16)
15,Количество скоростей шпинделей,16
16,"Наибольшее осевое перемещение вертикального шпинделя, мм",80
17,"Наибольший угол поворота вертикальной головки в вертикальной плоскости, градус",±90°
18,Конус горизонтального и вертикального шпинделей,40АТ5Морзе 4
19,"Пределы подач шпиндельной бабки, мм/мин (число ступеней)",13..395 (16)
20,Количество подач шпиндельной бабки,16
21,"Наибольшее усилие резания продольное/поперечное/вертикальное, допускаемое механизмом подач, Н",5000/ 5000/ 5000
22,"Допустимое значение осевой составляющей силы резания, действующей на вертикальный шпиндель, не более, Н",
23,Стол,
24,"Пределы продольных и вертикальных подач стола (X, Y), мм/мин",13..395 (16)
25,"Ускоренный ход стола, мм/мин",935
26,Электрооборудование и привод станка,
27,Напряжение силовой цепи,~ 380 В 50 Гц
28,Напряжение цепи освещения,
29,"Мощность двигателя главного привода, кВт (об/мин)","2,8 (1420)"
30,"Мощность двигателя электронасоса СОЖ, кВт (об/мин)","0,12 (2800)"
31,"Суммарная мощность электродвигателей, кВт",292
32,Габарит и масса станка,
33,"Габариты станка (длина х ширина х высота), мм",1200 х 1225 х 1755
34,"Масса станка, кг",1300
