index,Наименование параметра,11Т16А
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,А
2,"Наибольший диаметр устанавливаемого прутка, мм",16
3,"Наибольшая длина подачи прутка с дисковым кулачком, мм",80
4,"Наибольшая длина подачи прутка с колокольным кулачком, мм",140
5,"Расстояние от торца шпинделя до опорной плоскости резцов, мм",1..220
6,"Расстояние от основания автомата до оси шпинделя, мм",1120
7,"Наименьший остаток прутка при работе с люнетом, мм",105
8,"Наименьший остаток прутка при работе без люнета, мм",25
9,"Наибольшие размеры обрабатываемого прутка, мм",16 х 2000
10,"Наибольшее сечение резца, мм",12 х 12
11,"Пределы времени изготовления детали, с",187..1200
12,Шпидель,
13,Число ступеней частот прямого вращения шпинделя,24
14,"Частота прямого вращения шпинделя, об/мин",450..6300
15,"Размер внутреннего конуса цанги, мм",28h11
16,"Угол конуса цанги, град",30
17,"Наибольший крутящий момент на шпинделе, Н·м",275
18,Суппорт. Подачи,
19,"Пределы частот распределительного вала, об/мин",005..32
20,Количество частот вращения распределительного вала на одну частоту вращения шпинделя,29..38
21,"Частота вращения распределительного вала на быстром ходу, об/мин",005..32
22,Электрооборудование,
23,Количество электродвигателей на станке,1
24,"Мощность электродвигателя главного привода, кВт",30
25,"Мощность электродвигателя насоса охлаждения, кВт",0125
26,Габариты и масса станка,
27,"Габариты станка (длина ширина высота, мм",1945 х 945 х 1520
28,"Масса станка, кг",1200
